variant,mapping,kurtosis,vol_clust,leverage,mc_crash,n_series,frac_crashed,d_kurtosis,d_vol_clust,d_leverage,d_mc,score
multilayer,per-node,0.04505526269491108,0.12687737284917286,-0.024771942179843538,0.034520448561663454,500.0,0.990928445802092,0.9955828173828519,0.48423832175132986,0.7807792727447475,0.9112584869880116,0.7929647247167353
multilayer,bipartite,-0.07824065413149972,0.10518716956858397,0.017740870814110323,0.034378935201410304,100.0,0.990928445802092,1.0076706523658334,0.5724098798025041,1.1569988567620382,0.911622274546503,0.9121754158692197
rewire,per-node,0.1615123073847946,0.054760309896091715,-0.001812448988867627,0.02144939967816985,500.0,0.3345367027677497,0.9841654600603142,0.7773971142435296,0.9839606284171007,0.9448601550689721,0.9225958394474791
base,per-node,0.16689003864065835,0.07584680839526124,0.015093417544941068,0.025823471221112042,500.0,0.3347218365268907,0.9836382315058178,0.6916796406696697,1.13357006676939,0.9336157552156502,0.935625923540132
rewire,bipartite,0.005142329050249472,0.03263482816301719,0.013169731860911695,0.02234022165662829,100.0,0.3345367027677497,0.9994958500931128,0.8673380968983041,1.1165462996540858,0.9425701242760198,0.9814875927303806
base,bipartite,0.05824785154458597,0.06466113835158464,0.03193638937633466,0.026684367047635302,100.0,0.3347218365268907,0.9942894263191583,0.7371498440992493,1.2826229148348198,0.9314026554045365,0.986366210164441
