sigma_c,eta_mult,mc_calm,mc_crash,dist
0.0,1.0,0.002156934319666245,0.0003177891043539912,0.4500913342891519
0.0,2.0,0.0009699148144076359,0.00018226068731050618,0.4508081517392187
0.0,3.0,0.0005366889648333439,0.00016225031506363627,0.451044884649573
0.0,5.0,0.00020433347472286351,0.00015536934209510713,0.45121939768177177
0.0,8.0,5.209390666327371e-05,0.00015329589559352172,0.4512984656808092
0.0,12.0,1.736111505367293e-06,0.00014901679127115632,0.45132772346354877
-1.0,1.5,0.1817009138743058,0.19001714586238144,0.20452278347191663
-1.0,3.0,0.471820173636998,0.4857944103157497,0.2612340158894915
-1.0,6.0,0.7825362086405421,0.792574361972759,0.6849044489763976
0.05,1.0,0.0021335760069024546,0.0017749709777081632,0.4488455542989409
0.05,2.0,0.0010335285376490814,0.000634221938611482,0.45038621988287597
0.05,3.0,0.0005993585364255303,0.00036747679592955896,0.4508362178573295
0.05,5.0,0.0002508500815038283,0.0002623102837955178,0.4511036449934698
0.05,8.0,8.57626735287176e-05,0.00018949230119600825,0.4512501870567355
0.05,12.0,1.3798278788523751e-05,0.0001570618890621459,0.45131466743841764
0.1,1.0,0.0022247654146785555,0.0148393906836038,0.43757883688973365
0.1,2.0,0.000984764177613442,0.004046369477964797,0.447472547644896
0.1,3.0,0.0005043202109151108,0.001790804972106886,0.44965834632189244
0.1,5.0,0.00018509234635197952,0.0007605593949235344,0.45070781839721935
0.1,8.0,4.5736787880091535e-05,0.0004261837887564226,0.45106662328804514
0.1,12.0,3.382247063478746e-07,0.0002851058014285073,0.4512112042990769
0.2,1.0,0.002207892854240411,0.10399798198888908,0.3643106548315537
0.2,2.0,0.0010371750969275619,0.030117303535416678,0.42522698945379006
0.2,3.0,0.0005592157944617473,0.014038333754853879,0.4391287961338697
0.2,5.0,0.00021562199182064527,0.004913839845998335,0.4471200134417215
0.2,8.0,8.652591414752424e-05,0.0021050060519688845,0.4496006097130321
0.2,12.0,2.028381253688792e-05,0.0010901121654659238,0.4505078299657713
0.3,1.0,0.0022262951111164356,0.23613585654432132,0.2736221422953504
0.3,2.0,0.0009527680811294019,0.0780617229473613,0.385677813760584
0.3,3.0,0.0005108857165949145,0.037400612011525655,0.4193859025725012
0.3,5.0,0.00017966944541053764,0.014227797901581917,0.4391648625043146
0.3,8.0,4.201242533338382e-05,0.005574318071700611,0.4466419027815706
0.3,12.0,-1.0718628036994197e-05,0.002441564599395617,0.4493606580929258
0.5,1.0,0.0026075690121964597,0.3475144440446568,0.23035070748778708
0.5,2.0,0.0012656554723188879,0.13722871244282536,0.33958360749735905
0.5,3.0,0.0006920658927037779,0.06879635622452815,0.39333604183974946
0.5,5.0,0.0002534185297923684,0.02684087212427795,0.4284137685646779
0.5,8.0,8.785255686844304e-05,0.010477914850885676,0.4424163339576858
0.5,12.0,2.3238468005646217e-05,0.004631345113364247,0.44746117637613275
0.8,1.0,0.0023524567708457377,0.4323278745652846,0.23095949970518076
0.8,2.0,0.001091685144808858,0.18556602853495557,0.3056109329560849
0.8,3.0,0.0005676302847985317,0.0943076200688112,0.3729423977283313
0.8,5.0,0.00022495529752633367,0.03594825580627035,0.42075960837155213
0.8,8.0,7.279973956351277e-05,0.014387792509168487,0.43908411288427995
0.8,12.0,3.476385570144214e-06,0.006247190817853852,0.44608427752603425
