p,seed,lam_b_pred,R_star_pred,lam_b_sim,lam_f_sim,ratio,dR_jump
0.5,201,3.7383719530530515,0.4472135954999579,4.282135146224404,4.282135146224404,1.1454545454545455,0.2255039926672731
0.5,202,3.7383719530530515,0.4472135954999579,4.129201748144961,4.129201748144961,1.1045454545454545,0.2354268482804695
0.5,203,3.7383719530530515,0.4472135954999579,4.282135146224404,4.282135146224404,1.1454545454545455,0.11701540643115774
1.0,201,5.196152422706632,0.5773502691896257,5.526816667787964,5.951956411463961,1.0636363636363637,0.4075474905477262
1.0,202,5.196152422706632,0.5773502691896257,5.526816667787964,5.951956411463961,1.0636363636363637,0.4832899529591027
1.0,203,5.196152422706632,0.5773502691896257,5.739386539625962,5.739386539625962,1.1045454545454547,0.41476281453950226
1.5,201,6.607704811156807,0.6546536707079771,7.298510314141382,8.92040149506169,1.1045454545454545,0.48147903167083184
1.5,202,6.607704811156807,0.6546536707079771,7.028195117321331,8.92040149506169,1.0636363636363637,0.3982505602244936
1.5,203,6.607704811156807,0.6546536707079771,7.298510314141382,8.650086298241638,1.1045454545454545,0.6258194630907604
2.0,201,8.0,0.7071067811865476,9.163636363636364,14.072727272727272,1.1454545454545455,0.4138895860754412
2.0,202,8.0,0.7071067811865476,8.50909090909091,13.418181818181818,1.0636363636363637,0.8107924559168468
2.0,203,8.0,0.7071067811865476,9.163636363636364,14.072727272727272,1.1454545454545455,0.739288580363796
3.0,201,10.75828707279838,0.7745966692414834,,,,0.013928655446661643
3.0,202,10.75828707279838,0.7745966692414834,,,,0.016697291820877973
3.0,203,10.75828707279838,0.7745966692414834,,,,0.010531028300791338
