rewire,seed,clustering,kappa,lam_f,lam_b,d_lam,max_gap,dR_jump
1.0,201,0.013206515148078614,1.0403472222222223,6.5,5.6,0.9000000000000004,0.5305938583986384,0.47233729502761634
1.0,202,0.013673310070562392,1.0428645833333334,5.9,5.6,0.3000000000000007,0.305202397956455,0.3711801428326965
1.0,203,0.014227379646497293,1.042361111111111,5.9,5.9,0.0,0.14594287409256212,0.26980787626898706
0.5,201,0.0888203802346604,1.03171875,5.9,5.9,0.0,0.3577037270394564,0.48693864085469246
0.5,202,0.09385037183963268,1.0307986111111112,6.2,5.9,0.2999999999999998,0.4037080005462973,0.4027341781575887
0.5,203,0.09257718121446837,1.0324652777777779,6.5,6.2,0.2999999999999998,0.1757390080229177,0.27183222367414683
0.2,201,0.34884577126305066,1.0147048611111111,6.8,6.5,0.2999999999999998,0.09476887619315205,0.13536649916681437
0.2,202,0.3617391289266289,1.014513888888889,7.1,7.1,0.0,0.12472409855340721,0.1789716876626592
0.2,203,0.3525292291772555,1.01578125,7.7,7.3999999999999995,0.3000000000000007,0.07734160191825748,0.17317732138911515
0.1,201,0.4970374174436675,1.0075520833333333,8.0,8.0,0.0,0.11535295647951986,0.13185321022414337
0.1,202,0.5010114191364191,1.0080034722222222,11.0,10.7,0.3000000000000007,0.06504505916459075,0.1027132171725421
0.1,203,0.5124438696515903,1.0073611111111112,,11.0,,0.08653051014722837,0.11948776334586828
0.05,201,0.589856893106893,1.0035590277777777,,,,0.18780020468839934,0.21056335582554048
0.05,202,0.5832012848262849,1.0042013888888888,,,,0.10989638317989753,0.10309714953328494
0.05,203,0.5834823093573093,1.0041666666666667,,,,0.0506277226145775,0.09251386390813959
0.02,201,0.6444153485403485,1.0015104166666666,,,,0.07747044299077188,0.060355500490480246
0.02,202,0.6384576673326673,1.0019097222222222,,,,0.0385759995557072,0.06618385130043715
0.02,203,0.6416008436008436,1.0017708333333333,,,,0.07776056561790853,0.07309174782115024
0.0,201,0.6818181818181818,1.0,,,,0.10225616429050913,0.09561793181554647
0.0,202,0.6818181818181818,1.0,,,,0.04839560957842961,0.09302152249092578
0.0,203,0.6818181818181818,1.0,,,,0.07566953545407318,0.05694846767119327
