market,measure,n_onsets,calm,crash,p95,rise
au_asx200,mean_corr,9,0.10282481298898972,0.1924063228509167,0.26318241806995246,0.08958150986192696
au_asx200,absorption,9,0.1515321025674779,0.25663944288522234,0.31783504458713435,0.10510734031774444
au_asx200,flicker,9,0.03333333333333333,0.08333333333333333,0.18333333333333332,0.049999999999999996
br_b3,mean_corr,22,0.25824405130355244,0.2871974773178619,0.40224522143022795,0.028953426014309447
br_b3,absorption,22,0.3139767451607471,0.35940559173781816,0.45841472699059027,0.04542884657707108
br_b3,flicker,22,0.21666666666666667,0.2,0.36666666666666664,-0.016666666666666663
ca_tsx60,mean_corr,8,0.14802143161869757,0.2557256454465256,0.34336035878357846,0.10770421382782802
ca_tsx60,absorption,8,0.20894801751791514,0.30839022723264575,0.40263362299178795,0.09944220971473061
ca_tsx60,flicker,8,0.1,0.2,0.31666666666666665,0.1
ch_smi,mean_corr,14,0.2848929939301228,0.4862433225075954,0.6411841546594905,0.2013503285774726
ch_smi,absorption,14,0.34790588877929773,0.5345493322655217,0.6655162021275203,0.18664344348622397
ch_smi,flicker,14,0.3,0.43333333333333335,0.5666666666666667,0.13333333333333336
crypto,mean_corr,9,0.6298368590931344,0.6861665964287327,0.791760489929123,0.05632973733559832
crypto,absorption,9,0.660093527926648,0.7089172567321473,0.8027624075311112,0.048823728805499345
crypto,flicker,9,0.6,0.6333333333333333,0.7833333333333333,0.033333333333333326
de_dax,mean_corr,21,0.20595022661776982,0.4012986342522131,0.5944451293296623,0.1953484076344433
de_dax,absorption,21,0.25902051086290423,0.44831987215097324,0.6194843477906369,0.189299361288069
de_dax,flicker,21,0.21666666666666667,0.38333333333333336,0.5333333333333333,0.16666666666666669
es_ibex35,mean_corr,17,0.2915617674099432,0.41843258727907645,0.5657525453887485,0.12687081986913323
es_ibex35,absorption,17,0.35973685465649635,0.4807520340009233,0.6010733045041766,0.12101517934442696
es_ibex35,flicker,17,0.2833333333333333,0.35,0.5166666666666667,0.06666666666666665
eu_stoxx50,mean_corr,10,0.35854834961404597,0.5077670736200239,0.6521094308874985,0.14921872400597797
eu_stoxx50,absorption,10,0.4034905661367908,0.5456659733771259,0.6714035164017237,0.14217540724033506
eu_stoxx50,flicker,10,0.3333333333333333,0.4666666666666667,0.5833333333333334,0.13333333333333336
