topo,n,mean_deg,k2,kappa,k_max,cv_k,clustering,transitivity,C_rand,clustering_ratio,assortativity,path_len,small_world_sigma,lam_max_A,mu2_L,muN_L,eigenratio
er,598,5.812709030100335,39.74916387959866,1.1764428380173235,16.0,0.4200509945439047,0.01293789358170629,0.012417463289642258,0.009736531038694029,1.3287990897671562,0.012798638854297368,3.779955332216639,1.2770070327741672,7.055570371024691,0.3239858450961752,17.61745150457594,54.37722595364066
ba,600,5.97,82.56333333333333,2.316533346052803,79.0,1.1474028699863021,0.050603853777056965,0.029767603794934285,0.009966611018363939,5.077338092538882,-0.06577136540132397,3.2280189204229273,5.631298423516169,13.55576303163251,1.2403027914997806,80.18714528040191,64.65126566669997
sf,600,5.053333333333334,59.16,2.316713194700677,57.0,1.1474812393676321,0.046679849970542635,0.03456136027599803,0.008436282693377853,5.533224960228568,-0.04502842365067666,3.605286588759043,6.060133652987508,12.32332108327924,0.39152597578623893,58.464454897474376,149.32458767280912
ws,600,6.0,36.54333333333334,1.0150925925925927,9.0,0.12285191326386656,0.43620634920634915,0.42104114373021934,0.01001669449081803,43.54793386243386,0.014691358803089753,5.560907067334447,27.95849463103153,6.138429749866063,0.19368930712628327,10.832930920524236,55.92942161469598
ring,600,6.0,36.0,1.0,6.0,0.0,0.6,0.6,0.01001669449081803,59.9,,50.41736227045075,4.241686514333321,5.999999999999999,0.001535173587805873,8.630895778186485,5622.097622537971
rr,600,6.0,36.0,1.0,6.0,0.0,0.005,0.005,0.01001669449081803,0.4991666666666667,,3.8563439065108516,0.462127364707989,5.999999999999995,1.5841583160967956,10.435824962420257,6.5876149223097
