market,date,mean_corr,R_hat,lam_hat
au_asx200,2000-03-30,0.03032904006000375,0.26391245257505186,3.6944444399511727
au_asx200,2000-04-06,0.026181291324930817,0.245203170810338,3.690352326344388
au_asx200,2000-04-13,0.028846945255615795,0.25738335965592407,3.693016389943143
au_asx200,2000-04-26,0.07776622914284154,0.4225966700837442,3.7291520173887025
au_asx200,2000-05-03,0.078850962248561,0.42553378768422107,3.7297944268114045
au_asx200,2000-05-10,0.08054439365647961,0.4300789715732726,3.7307885541687043
au_asx200,2000-05-17,0.08689483169818964,0.4467119017069835,3.734426525982739
au_asx200,2000-05-24,0.08999514699972666,0.4546111629981404,3.736154260645117
au_asx200,2000-05-31,0.09379898338860777,0.46411928660203056,3.738233887349326
au_asx200,2000-06-07,0.09623778565673352,0.470114191044965,3.7395450990971004
au_asx200,2000-06-15,0.09371291547794636,0.4639063048435774,3.7381873037571434
au_asx200,2000-06-22,0.09362703839909389,0.4636936978125949,3.738140802125743
au_asx200,2000-06-29,0.10000339032163898,0.4792232853510075,3.7415374496974074
au_asx200,2000-07-06,0.10201650864154886,0.4840227541160897,3.7425871945078137
au_asx200,2000-07-13,0.10062995670544267,0.4807222162540886,3.741865297426747
au_asx200,2000-07-20,0.04500018315952196,0.32146795761140995,3.707033039998283
au_asx200,2000-07-27,0.044933220368907185,0.32122868741176264,3.7069807065708433
au_asx200,2000-08-03,0.03966883391796239,0.30182504044191294,3.702736720682709
au_asx200,2000-08-10,0.03120681652797006,0.26770426118101354,3.6952737882813715
au_asx200,2000-08-17,0.02833902691263527,0.2551073768432938,3.6925185846102875
au_asx200,2000-08-24,0.02853771393214534,0.25600010320349353,3.6927138426502086
au_asx200,2000-08-31,0.03415383065685928,0.28005946876252363,3.6979761321604565
au_asx200,2000-09-07,0.03130694584490313,0.2681333914278417,3.695367648096206
au_asx200,2000-09-14,0.030654942081290583,0.2653266051449531,3.694753744875121
au_asx200,2000-09-21,0.03864580708845165,0.2979077086291473,3.701879917785895
au_asx200,2000-09-28,0.04438192387757049,0.31925198952810674,3.706548361149574
au_asx200,2000-10-05,0.05227966502679291,0.3464949811683872,3.712506976674355
au_asx200,2000-10-12,0.05471426711474664,0.35447110856289027,3.7142515235709683
au_asx200,2000-10-19,0.05542585045252982,0.3567686895083373,3.7147540528699436
au_asx200,2000-10-26,0.05667839425792901,0.3607773956800835,3.715630841261786
au_asx200,2000-11-02,0.059601239707603504,0.36996291859399366,3.7176399084068614
au_asx200,2000-11-09,0.06094283860001301,0.3741036020183982,3.718545563000955
au_asx200,2000-11-16,0.055044507556871826,0.3555392448663183,3.7144851474564886
au_asx200,2000-11-23,0.04962632853261785,0.3375877067772071,3.7105587683361674
au_asx200,2000-11-30,0.048344654923438375,0.3331998388001674,3.709599049279101
au_asx200,2000-12-07,0.047045916054509265,0.32869380203999404,3.7086134842226297
au_asx200,2000-12-14,0.037173545059129676,0.29217801894405776,3.7006267140863693
au_asx200,2000-12-21,0.04058824695030909,0.3053027367391948,3.7034973660413786
au_asx200,2001-01-02,0.0373557618080526,0.2928932405568187,3.7007831481029316
au_asx200,2001-01-09,0.041808947985331434,0.3098597528869619,3.7044940813626366
au_asx200,2001-01-16,0.03759458413379427,0.293828009351932,3.7009876017080345
au_asx200,2001-01-23,0.03994360813040819,0.3028685626546672,3.7029649609486635
au_asx200,2001-01-31,0.038399659360645134,0.2969574575022244,3.701672077869043
au_asx200,2001-02-07,0.038495494813920055,0.29732779044998914,3.701753077477347
au_asx200,2001-02-14,0.04096854447624849,0.3067296913763594,3.7038094710468217
au_asx200,2001-02-21,0.04296109811908093,0.3141002175295698,3.705421560208769
au_asx200,2001-02-28,0.0422849770606284,0.3116187635009222,3.7048788139973996
