lam,R_stable,R_unstable
4.0,,
4.2,,
4.4,,
4.6,,
4.8,,
5.0,,
5.2,0.5901261225150318,0.5644794738412586
5.4,0.6666666666666675,0.4831632475943925
5.6,0.6996956347768983,0.4456517200128096
5.8,0.7234205711601533,0.417710658401247
6.0,0.742227198968559,0.3949308436346983
6.2,0.7578615422687391,0.3755454790302968
6.4,0.7712372696473184,0.358622458794674
6.6,0.7829058573156206,0.34359388205268526
6.800000000000001,0.7932311989823493,0.3300811727052968
7.0,0.8024685588737615,0.3178158989333781
7.2,0.8108051702297027,0.3065989822616449
7.4,0.8183831131755865,0.29627765610102125
7.6,0.8253131254371179,0.286731515343909
7.800000000000001,0.831683399803478,0.27786359910389563
8.0,0.8375654352833226,0.2695944364054446
8.2,0.8430180689996207,0.2618579251237237
8.4,0.8480903379059411,0.25459839291359604
8.600000000000001,0.8528235615246931,0.24776844713020524
8.8,0.8572528907173891,0.24132736724147988
9.0,0.8614084810721736,0.23523987990698605
9.2,0.8653163965239579,0.2294752100705824
9.4,0.8689993153222678,0.22400633508082468
9.600000000000001,0.8724770886833616,0.21880939076837946
9.8,0.875767187955525,0.21386319303031612
10.0,0.8788850662499734,0.20914884844131656
10.2,0.8818444536338392,0.20464943434582686
10.4,0.8846576001381422,0.20034973379398355
10.600000000000001,0.8873354773568228,0.19623601421568865
10.8,0.8898879468807417,0.19229584130544672
11.0,0.8923239019418087,0.18851792149828753
11.2,0.8946513872462991,0.18489196784614598
11.4,0.8968777009217822,0.18140858518677727
11.600000000000001,0.899009481697065,0.1780591713262206
11.8,0.9010527838141702,0.17483583159666147
12.0,0.903013141689013,0.17173130465144265
