variant,seed,lam_f,lam_b,d_lam,max_gap,dR_jump
base,101,4.199999999999999,3.15,1.0499999999999994,0.8431764947423352,0.8444810896345559
base,102,4.05,3.15,0.8999999999999999,0.7342754579836606,0.6915203436644454
rewire,101,4.199999999999999,3.3,0.8999999999999995,0.7935952266499298,0.7857586114292947
rewire,102,4.05,3.3,0.75,0.733523188665722,0.7575872731236392
multilayer,101,1.65,,,0.26866854660982253,0.37523560916817333
multilayer,102,1.8,,,0.6607884306418679,0.559514179664425
