variant,mapping,seed,n_series,kurtosis,vol_clust,leverage,mc_crash,frac_crashed
base,per-node,101,500,0.1486904913915743,0.06858192430640507,-0.015914232711344727,0.024770916863948753,0.25437378505970565
base,bipartite,101,100,0.06035758030614158,0.03586952328094191,0.005473475284282746,0.023858055154732095,0.25437378505970565
base,per-node,102,500,0.2000488275847867,0.08542004118159492,0.03341395351824824,0.014606083928246279,0.3793390724798667
base,bipartite,102,100,0.038627007748634146,0.06839197118260379,0.05950115540002122,0.017320061932767316,0.3793390724798667
base,per-node,103,500,0.15193079694561407,0.07353845969778373,0.027780531827919692,0.0380934128711411,0.3704526520410997
base,bipartite,103,100,0.07575896657898218,0.08972192059120823,0.030834537444700015,0.0388749840554065,0.3704526520410997
rewire,per-node,101,500,0.21750445404645147,0.0378866839686484,-0.028965229471091765,0.022954292843262065,0.3601777284087753
rewire,bipartite,101,100,0.01679793085788628,0.028827430530030555,-0.0051262502290600935,0.024869720364303342,0.3601777284087753
rewire,per-node,102,500,0.18722988236658145,0.08009328474972036,0.028804206918945856,0.02300032353327966,0.3085254096084421
rewire,bipartite,102,100,0.006131314268157606,0.035388665941037095,0.05317764845166695,0.0224695696963405,0.3085254096084421
rewire,per-node,103,500,0.0798025857413509,0.04630096096990639,-0.005276324414456972,0.018393582657967828,0.33490697028603167
rewire,bipartite,103,100,-0.007502257975295468,0.03368838801798392,-0.008542202639871767,0.019681374909241038,0.33490697028603167
multilayer,per-node,101,500,0.026850861395066872,0.121875701258544,-0.0384802077056844,0.029647816909642126,0.9894473757289641
multilayer,bipartite,101,100,-0.07442834053183978,0.10828038021659324,0.010221781826058797,0.03103951929042487,0.9894473757289641
multilayer,per-node,102,500,0.1352144757889433,0.127112126298299,-0.04077810641738756,0.03310837213231466,0.991668980838656
multilayer,bipartite,102,100,0.05183556474019024,0.10447476281502178,-0.005483924769479836,0.03219360701071272,0.991668980838656
multilayer,per-node,103,500,-0.026899549099276943,0.13164429099067557,0.004942487583541345,0.04080515664303357,0.991668980838656
multilayer,bipartite,103,100,-0.21212918660284963,0.10280636567413688,0.048484755385752004,0.03990367930309332,0.991668980838656
