variant,price,seed,kurtosis,vol_clust,leverage,mc_calm,mc_crash,R_mean,frac_crashed
base,linear,51,-0.024193342522976558,0.003753200705845208,-0.01401816841591797,0.0008436368833339185,0.0006858819023486876,0.40914056064842746,0.358789225215218
base,nokappa,51,0.11980316899920762,0.09287089709407224,-0.029045274067973893,0.0006837704998474551,0.00038904566471764933,0.40914056064842746,0.358789225215218
base,sqrt,51,-0.03364455789605403,0.016616668440794385,-0.01183966320733243,0.0010973483740880881,0.0010262313745144217,0.40914056064842746,0.358789225215218
base,liquidity,51,1.2371433370691634,0.24292316090422944,-0.08858901145423309,0.0013210132863292717,0.0067497754400537265,0.40914056064842746,0.358789225215218
base,linear,52,-0.01899420109036587,0.0048032780889354434,-0.006790332866238004,0.0010739185666121154,0.0003248008934248754,0.426671277237457,0.3760066648153291
base,nokappa,52,-0.025727071362897203,0.11204644621858408,0.07580895774059994,0.001031537076865624,0.0003131162763796699,0.426671277237457,0.3760066648153291
base,sqrt,52,0.0596895307175509,0.013400549718225241,-0.0011941075872486419,0.0013004357180719168,0.0005647542870612591,0.426671277237457,0.3760066648153291
base,liquidity,52,0.8291173578036393,0.2739110421988778,0.07585819259839206,0.0013674107155798106,0.003102605249123735,0.426671277237457,0.3760066648153291
base,linear,53,0.14963752544864972,0.01590512841561294,-0.03547212077023097,0.0010615515193935002,0.0005653920785103156,0.46703657512929014,0.43432379894473755
base,nokappa,53,-0.05705466692081451,0.19029085722947434,-0.017344887235518257,0.000847962424498076,0.0002731363267565965,0.46703657512929014,0.43432379894473755
base,sqrt,53,0.11830312308773383,0.03376708433557677,-0.0423976265003838,0.0013264279415911638,0.0007317587111568999,0.46703657512929014,0.43432379894473755
base,liquidity,53,1.6586175061006445,0.4927979266072428,-0.008310495526317801,0.0018692661000725822,0.010317438308118255,0.46703657512929014,0.43432379894473755
meanfreq,linear,51,-0.017917197279549768,0.1376528730471891,-0.014980559590052045,0.0006485796675947381,0.11824240084653387,0.4261048920534103,0.38100527631213554
meanfreq,nokappa,51,-0.021057157193364873,0.13829144775639596,0.00046007268805751836,0.0006800279620030768,0.11857932934164976,0.4261048920534103,0.38100527631213554
meanfreq,sqrt,51,-0.18443885406336502,0.15265902608699974,-0.014159808414938831,0.0008514322375965161,0.14223957311554278,0.4261048920534103,0.38100527631213554
meanfreq,liquidity,51,1.876896690701991,0.7263678310070832,0.0011245000947874835,0.0008397226509732518,0.5559969074220426,0.4261048920534103,0.38100527631213554
meanfreq,linear,52,-0.03846357881144424,0.10833710398429523,0.012259265037273164,0.0009790555319570894,0.11790702737008124,0.43150962631489354,0.3815606775895585
meanfreq,nokappa,52,-0.029000231054919112,0.114711433144996,0.00850769240725015,0.0009981633925616117,0.11847174759434144,0.43150962631489354,0.3815606775895585
meanfreq,sqrt,52,-0.25560870667703073,0.11549603910664773,0.011524772870982955,0.0011734022872110052,0.14151659239348974,0.43150962631489354,0.3815606775895585
meanfreq,liquidity,52,1.6812720483158756,0.7244374849686754,0.0016437998425039336,0.001200388778776045,0.5473041715657616,0.43150962631489354,0.3815606775895585
meanfreq,linear,53,0.003436408608097352,0.13199250857061448,-0.04001104015080472,0.0008609319670853377,0.12204811073035868,0.453154302654869,0.4179394612607609
meanfreq,nokappa,53,-0.005427273603933358,0.1385959047707572,-0.02589477192517502,0.0008617223296992284,0.1219927765750343,0.453154302654869,0.4179394612607609
meanfreq,sqrt,53,-0.19885066108394112,0.15527473507258158,-0.03336847753208698,0.0010234554863817916,0.14712277666234694,0.453154302654869,0.4179394612607609
meanfreq,liquidity,53,1.5569800532937323,0.7419687392123853,-0.009435059051061503,0.0010028718890641275,0.5709794722982559,0.453154302654869,0.4179394612607609
inertia,linear,51,-0.004037603508736609,0.0006269742425110638,-0.018372275419870823,0.00012648110944837252,,0.058826197669815075,0.0
inertia,nokappa,51,-0.009297985312281654,-0.0030980616698953836,-0.014635025953233374,0.00014143428081467868,,0.058826197669815075,0.0
inertia,sqrt,51,0.004158806205886378,0.013725107311375976,-0.011838750335512049,0.0001716012935318703,,0.058826197669815075,0.0
inertia,liquidity,51,-0.0032118378242853574,0.000938012808565443,-0.018152885753674963,0.00017298525323673915,,0.058826197669815075,0.0
inertia,linear,52,-0.09029663091750484,-0.006599523545822917,-0.019643736423766586,0.00023735328882163186,,0.060146922369327026,0.0
inertia,nokappa,52,-0.06749613185929038,-0.007083356257718272,-0.014257412519860143,0.00024548478180071187,,0.060146922369327026,0.0
inertia,sqrt,52,0.01927377126437957,-0.009884910773879726,-0.012935873289172846,0.0002760615343061077,,0.060146922369327026,0.0
inertia,liquidity,52,-0.08768346706143415,-0.006756290322387706,-0.01936070253148469,0.00028745299895395775,,0.060146922369327026,0.0
inertia,linear,53,0.15382234667118322,0.014232862548947754,-0.03357410814149722,0.00017415442547988192,,0.0551009517157241,0.0
inertia,nokappa,53,0.11380755322777869,0.01818822720952153,-0.029811136414543738,0.00016859921527158034,,0.0551009517157241,0.0
inertia,sqrt,53,0.14731949969882807,0.011380903442376696,-0.03178666376566097,0.00020957649851570495,,0.0551009517157241,0.0
inertia,liquidity,53,0.15543204439229985,0.014313936608180212,-0.03350626975520824,0.00020799545195104965,,0.0551009517157241,0.0
contrarian,linear,51,-0.019766903892086685,-0.00433293195103208,-0.018597850871888064,0.0003314012722506893,,0.06612547549115988,0.0
contrarian,nokappa,51,-0.018420475501522926,-0.00936036238231817,-0.01664332535405052,0.00036024665531307143,,0.06612547549115988,0.0
contrarian,sqrt,51,-0.03599660326811405,0.005190125255021662,-0.01548375350519716,0.0003943922824258267,,0.06612547549115988,0.0
contrarian,liquidity,51,-0.02102523479026175,-0.00404583398382151,-0.01846396463037768,0.00039193785131933764,,0.06612547549115988,0.0
contrarian,linear,52,-0.12359878729991625,-0.00411423277614241,-0.02116995453937811,0.0002498424012699566,,0.059153230856287625,0.0
contrarian,nokappa,52,-0.10294435262813773,-0.0035335392216211273,-0.019240894511740977,0.0002685073434660055,,0.059153230856287625,0.0
contrarian,sqrt,52,-0.08522816554376922,-0.0030210832843656564,-0.017743081746146246,0.0003118753312341244,,0.059153230856287625,0.0
contrarian,liquidity,52,-0.12370344117978949,-0.004289363151887408,-0.021069010022177564,0.0003127397104739369,,0.059153230856287625,0.0
contrarian,linear,53,0.15688800641653566,0.011462486368723854,-0.03148837029874823,0.00019893528077090877,,0.06293744168226977,0.0
contrarian,nokappa,53,0.1115439583752571,0.013683542370679707,-0.028172275502798702,0.00020868638546557203,,0.06293744168226977,0.0
contrarian,sqrt,53,0.12761143994401758,0.01466619780192074,-0.01741525377144531,0.00024504411476301494,,0.06293744168226977,0.0
contrarian,liquidity,53,0.15782461617620713,0.011400379335986309,-0.03130585210709958,0.00024805158281060766,,0.06293744168226977,0.0
common,linear,51,0.016877049383874354,0.034818068512879115,-0.014704772599954815,0.0008181294899262586,0.032729304150043756,0.4276566976103732,0.38322688142182726
common,nokappa,51,0.06941653559591998,0.10385093924210557,-0.010531049102192372,0.0007882813603979978,0.037210220905601485,0.4276566976103732,0.38322688142182726
common,sqrt,51,-0.005080390186909423,0.09047513157381994,-0.00978246987732468,0.000997044240531656,0.04155653634928823,0.4276566976103732,0.38322688142182726
common,liquidity,51,1.422051520702425,0.5321678878830222,0.013481081454181094,0.0013924620867269773,0.24558100520562784,0.4276566976103732,0.38322688142182726
common,linear,52,-0.033578076242913646,0.04972002785580074,-0.018113944053928327,0.0008097274969386895,0.02137795149991885,0.4507855794901651,0.40238822549291864
common,nokappa,52,-0.06148274341652815,0.10156314633182316,-0.04417362714483611,0.0006709272849291524,0.02245220754102486,0.4507855794901651,0.40238822549291864
common,sqrt,52,0.021629304693056906,0.09057684897885407,0.011631319053021552,0.0009820845985322269,0.02193548369300878,0.4507855794901651,0.40238822549291864
common,liquidity,52,1.4768367942336393,0.5666026711234483,-0.0072677658507036,0.001183608982537808,0.2156032562967004,0.4507855794901651,0.40238822549291864
common,linear,53,0.11445791762774649,0.03993496999686839,-0.05310462143843926,0.0008100412376575438,0.025207587937805562,0.40600472707472085,0.36128853096362123
common,nokappa,53,0.14723537228891104,0.15630359140444028,0.0014264011524189278,0.0007064623678941585,0.0313372347852826,0.40600472707472085,0.36128853096362123
common,sqrt,53,0.07433517839043624,0.06799215104567527,-0.05148655471998722,0.0009833927294155907,0.031155153389921857,0.40600472707472085,0.36128853096362123
common,liquidity,53,2.0129919086955805,0.5682383006115056,-0.09267860851451591,0.0011841258854358094,0.23329838903187772,0.40600472707472085,0.36128853096362123
asym,linear,51,0.06953769682282784,0.062088089739463455,-0.020148759883152366,0.000781826278828812,0.010227132965714224,0.368552092118216,0.2574284920855318
asym,nokappa,51,-0.021918184774935234,0.15111702188936468,0.0760852111669189,0.0007864160192077832,0.016516252589103855,0.368552092118216,0.2574284920855318
asym,sqrt,51,0.11989818233126215,0.10903393373009147,-0.011122100611771943,0.0009383127193010861,0.011842190544326019,0.368552092118216,0.2574284920855318
asym,liquidity,51,1.4491458727158983,0.5896351503634837,-0.08070457220847262,0.0010657399404346516,0.0889172404536789,0.368552092118216,0.2574284920855318
asym,linear,52,-0.07379527531672414,0.035753454289449565,0.00011254877795760226,0.0007617436380783179,0.010192576596955653,0.3387363425852054,0.242154956956401
asym,nokappa,52,-0.1481677683767848,0.11369498702958936,0.12705333955970363,0.0007785795312277784,0.014931176746408908,0.3387363425852054,0.242154956956401
asym,sqrt,52,-0.04013980750024926,0.09022804890119115,-0.002436964558466964,0.0009073902135417858,0.012505806507036598,0.3387363425852054,0.242154956956401
asym,liquidity,52,0.8472106693565733,0.4416242811014017,0.08340527535661776,0.0010631815156529262,0.05162838754752938,0.3387363425852054,0.242154956956401
asym,linear,53,0.1561431441421779,0.047108702784608755,0.005558964400791246,0.0006339021815612194,0.012336347149641134,0.3406239548908615,0.26714801444043323
asym,nokappa,53,0.05979017769304429,0.15570921634604218,0.09739348344734515,0.0005243095056888444,0.017430040637986186,0.3406239548908615,0.26714801444043323
asym,sqrt,53,0.13115618194642398,0.08544789956452187,0.03377301850253816,0.0007615863058415243,0.014982870830464635,0.3406239548908615,0.26714801444043323
asym,liquidity,53,1.3447445652838583,0.578089291500478,0.0775037759620702,0.0009679740320866777,0.0888668600515862,0.3406239548908615,0.26714801444043323
lag,linear,51,0.18526262252463033,0.07281094286266661,0.012761898659774342,0.0007245200224669182,0.10246826372999317,0.3669327874783217,0.304915301305193
lag,nokappa,51,0.181020703344982,0.07048731339908856,0.023293342990505582,0.0007745808424113585,0.1021813097725054,0.3669327874783217,0.304915301305193
lag,sqrt,51,0.07627635649986209,0.10717793589339805,0.014347726492218887,0.0008790009306217531,0.12274596629767787,0.3669327874783217,0.304915301305193
lag,liquidity,51,1.8704030690225348,0.4661338861665862,0.009262216386761847,0.0009234439953325005,0.4314294090361718,0.3669327874783217,0.304915301305193
lag,linear,52,-0.05676532344991214,0.06056626689514108,0.005878943355018617,0.0007540683209826711,0.0998591546358485,0.35409046615027684,0.29047486809219664
lag,nokappa,52,-0.05547548946646241,0.06110872930114068,0.0036269062527543527,0.0007711997239706335,0.09976334367274405,0.35409046615027684,0.29047486809219664
lag,sqrt,52,-0.2084932243832105,0.0851733782123931,0.0046579339756118755,0.0009023346695983206,0.12032226756278222,0.35409046615027684,0.29047486809219664
lag,liquidity,52,1.6156679419952038,0.46140884508778535,0.015644746161587786,0.0008939246951013903,0.4120306381041231,0.35409046615027684,0.29047486809219664
lag,linear,53,0.21941551563919726,0.10023322334639267,-0.026332630981992126,0.0006865637609533562,0.10569186909663367,0.30574272185429835,0.2313246320466537
lag,nokappa,53,0.21660775876845628,0.1105770049046598,-0.008787921517861251,0.000677238068213891,0.10545508518555603,0.30574272185429835,0.2313246320466537
lag,sqrt,53,0.033733357081234594,0.13355560557174415,-0.021664331984923266,0.0008052988967478157,0.12700558040939022,0.30574272185429835,0.2313246320466537
lag,liquidity,53,2.6984942821360542,0.5121150655602966,-0.009617657334903764,0.0008091922088759099,0.44760594735973275,0.30574272185429835,0.2313246320466537
liq_common,linear,51,0.06118288812750805,0.04018190338858074,0.012398492463316384,0.0009086741687155695,0.01580307330019142,0.3315670696007767,0.2546514856984171
liq_common,nokappa,51,0.007852678814714853,0.12420155296322492,0.10612670436971365,0.0008213725753672067,0.019991054938741037,0.3315670696007767,0.2546514856984171
liq_common,sqrt,51,0.12690447820711448,0.07541469251097732,0.027916940454935122,0.00104711717578392,0.01868444940080649,0.3315670696007767,0.2546514856984171
liq_common,liquidity,51,1.524283572596131,0.44364107166348005,0.0304454988393171,0.0011882773911750493,0.11883156650632994,0.3315670696007767,0.2546514856984171
liq_common,linear,52,-0.029740389943132772,0.008244897484014828,0.004999214464577636,0.0005933323732078761,0.008609721916986269,0.31776122589760264,0.23993335184670925
liq_common,nokappa,52,-0.14985317695597855,0.08959501409589586,0.12345012989535237,0.0006107581540910074,0.00836289345332981,0.31776122589760264,0.23993335184670925
liq_common,sqrt,52,0.015205830944874599,0.04169066275356662,0.012060059114529202,0.0007152458762421599,0.010203854830279059,0.31776122589760264,0.23993335184670925
liq_common,liquidity,52,1.2786053319085138,0.38172530940617067,0.05852416217411975,0.000797196102823879,0.08555694594356647,0.31776122589760264,0.23993335184670925
liq_common,linear,53,0.10671382835616994,0.04887098843385533,0.012742444099404695,0.0006678889232032238,0.012569673530688307,0.31826616920319595,0.26076089975006944
liq_common,nokappa,53,0.054275184999262205,0.1540544823713507,0.13497363965117348,0.0005493044475850654,0.011475046048833874,0.31826616920319595,0.26076089975006944
liq_common,sqrt,53,0.0830205501228698,0.10041416600263492,0.021035967568747652,0.0008015220953338174,0.014927541734127624,0.31826616920319595,0.26076089975006944
