variant,price,kurtosis,vol_clust,leverage,mc_crash,d_kurtosis,d_vol_clust,d_leverage,d_mc,score
lag,liquidity,2.0615217643845978,0.479885932271556,0.0050964350711486,0.4303553315000092,0.7978900230995493,0.9507558222420976,1.045101195319899,0.10631190616968944,0.7250147367078088
meanfreq,sqrt,-0.2129660739414456,0.14114326675540964,-0.012001171025347602,0.14362631405712645,1.0208790268570045,0.4262468831080909,0.8937949466783398,0.6307806836577726,0.742925385075302
meanfreq,linear,-0.017648122494298868,0.12599416186736623,-0.0142441115678612,0.1193991796489912,1.0017302080876764,0.4878286102952592,0.8739459153286621,0.6930612348354982,0.764141492136774
meanfreq,nokappa,-0.0184948872840724,0.13053292855738305,-0.0056423356099557995,0.11968128450367514,1.0018132242435365,0.4693783391976299,0.9500678264605682,0.6923360295535343,0.7783988548638172
base,liquidity,1.241626066991149,0.3365440432367833,-0.0070137714607196,0.006723272999098533,0.878271954216554,0.36806521640968815,0.9379312260113309,0.9827165218532171,0.7917462296226975
lag,sqrt,-0.032827836934038,0.10863563989251172,-0.0008862238390308664,0.12335793808995006,1.00321841538569,0.5583917077540174,0.992157311159019,0.6828844779178662,0.8091629780541482
common,liquidity,1.637293407877215,0.5556696198726586,-0.028821764303679498,0.23149421684473528,0.8394810384434104,1.258819592978287,0.7449401389054912,0.4048991854891124,0.8120349889540752
common,nokappa,0.0517230548227676,0.12057255899278961,-0.0177594250315365,0.030333221077302935,0.9949291122722776,0.5098676463707739,0.8428369466235708,0.9220225679246711,0.8174140682978233
lag,linear,0.11597093823797179,0.07787014436806673,-0.0025639296557330668,0.10267309582082507,0.9886303001727479,0.6834546976907857,0.9773103570289109,0.7360588796379819,0.8463635586326066
common,sqrt,0.030294697632194566,0.08301471053278303,-0.016545901848096765,0.03154905781073957,0.9970299316046868,0.662541827102508,0.8535760898398517,0.9188970236227775,0.858011218042456
lag,nokappa,0.11405099088232527,0.08072434920162963,0.006044109241799533,0.10246657954360179,0.9888185303056545,0.6718522390177657,1.0534876924053056,0.7365897698107924,0.8626870578848795
common,linear,0.032585630256235704,0.041491022121849366,-0.028641112697440768,0.026438281195922664,0.9968053303670357,0.8313373084477669,0.7465388256863649,0.9320352668485278,0.8766791828374237
base,nokappa,0.012340476905165298,0.13173606684737685,0.009806265479035965,0.0003250994226179,0.9987901493230229,0.46448753314074454,1.0867811104339467,0.9991642688364579,0.887305765433543
asym,sqrt,0.0703048522591456,0.0949032940652681,0.006737984444099767,0.013110289293942368,0.993107367425574,0.6142142517672029,1.059628180921237,0.9662974568279117,0.9083118142354814
inertia,linear,0.019829370748313934,0.0027534377485452666,-0.02386337332837817,,0.998055944044283,0.9888071636237997,0.7888197050586003,,0.9252276042422277
inertia,liquidity,0.021512246502193466,0.0028318863647859662,-0.0236732860134559,,0.9978909562252751,0.9884882668098132,0.7905018936862309,,0.9256270389071064
contrarian,linear,0.004507438408177596,0.0010051072138498006,-0.02375205857000477,,0.9995580942737081,0.9959141983176837,0.789804791415887,,0.9284256946690931
contrarian,liquidity,0.004365313402052003,0.0010217274000924662,-0.023612942253218198,,0.999572028097838,0.99584663658499,0.7910359092635558,,0.9288181913154613
asym,linear,0.050628521882760534,0.04831674893784053,-0.004825748901467833,0.010918685570770298,0.9950364194232587,0.803590451472193,0.9572942575091342,0.9719313995610018,0.9319631319913969
inertia,sqrt,0.0569173590563646,0.005073699993290933,-0.018853762463448567,,0.9944198667591798,0.9793752032793052,0.8331525445712517,,0.9356492048699122
base,sqrt,0.04811603196974357,0.0212614341648654,-0.01847713243165493,0.0007742481242441333,0.9952827419637506,0.9135714058338805,0.8364855537021688,0.9980096449248222,0.9358373366061555
contrarian,nokappa,-0.003273623251467831,0.00026321358891350015,-0.021352165122863365,,1.0003209434560263,0.9989300260613272,0.8110427865233331,,0.9367645853468956
inertia,nokappa,0.012337812018735564,0.002668936427302666,-0.019567858295879034,,0.9987904105863985,0.989150664929664,0.8268331124258492,,0.9382580626473039
contrarian,sqrt,0.0021288903773781045,0.0056117465908589,-0.016880696340929535,,0.9997912852571198,0.9771880219883785,0.8506133067174377,,0.9425308713209787
base,linear,0.0354833272784358,0.008153869070131166,-0.018760207350795602,0.0005253582914279,0.9965212424236827,0.9668541907718246,0.8339804659221628,0.9986494645464578,0.9490013409160318
liq_common,sqrt,0.07504361975828623,0.0725065070890596,0.0203376557127373,0.014605281988404334,0.9926427823766386,0.7052581012639854,1.1799792540950205,0.9624542879475467,0.9600836064207978
liq_common,linear,0.046052108846848405,0.0324325964354836,0.0100467170090995,0.012327489582621967,0.9954850873679562,0.86816017709153,1.0889090000805266,0.9683097954174242,0.9802160149893593
liq_common,liquidity,1.3623767633325492,0.4246824325173297,0.07975553142832613,0.10882855771437587,0.8664336506536717,0.7263513516964621,1.705801163082532,0.7202350701429926,1.0047053088939146
asym,liquidity,1.2137003691187767,0.5364495743217877,0.026734826370071765,0.07647082935093147,0.8810097677334533,1.1806893265113323,1.2365913838059448,0.8034168911287108,1.0254268422948603
meanfreq,liquidity,1.7050495974371997,0.7309246850627146,-0.0022222530379233997,0.5580935170953533,0.8328382747610589,1.9712385571655064,0.9803340439121824,0.434687704615304,1.054774645113513
asym,nokappa,-0.03676525848622527,0.14017374175499867,0.10017734472465588,0.016292489991166267,1.0036044371064927,0.4301880416463469,1.8865251745544769,0.9581169923106265,1.0696086614044857
liq_common,nokappa,-0.02924177104733383,0.12261701647682381,0.12151682463874643,0.013276331480301532,1.0028668402987582,0.5015568435901471,2.0753701295464286,0.9658706131611785,1.136416106649128
