lam,R
0.5,0.052580732150789046
0.6666666666666666,0.05012374026958107
0.8333333333333333,0.05842334697934488
1.0,0.039104506572566276
1.1666666666666665,0.06012795624184891
1.3333333333333333,0.06227412886071758
1.5,0.05315954108615302
1.6666666666666665,0.04764191967408285
1.8333333333333333,0.04167483750566413
2.0,0.051053443309083076
2.1666666666666665,0.056833905780514
2.333333333333333,0.05551321974832344
2.5,0.0718010303703025
2.6666666666666665,0.05887656840491673
2.833333333333333,0.08695732180181599
3.0,0.09130740129110684
3.1666666666666665,0.11000553042377367
3.333333333333333,0.06242249024853256
3.5,0.07944975752163017
3.6666666666666665,0.13691153395088348
3.833333333333333,0.8989171689562284
4.0,0.910210791882513
4.166666666666666,0.9203224701972904
4.333333333333333,0.9252480582240538
4.5,0.9329952236076162
4.666666666666666,0.9380923226763123
4.833333333333333,0.9421901792998408
5.0,0.9481645276844861
5.166666666666666,0.9511879024999567
5.333333333333333,0.9549864318173441
5.5,0.9578827907259599
5.666666666666666,0.959977829927132
5.833333333333333,0.9621716833829022
6.0,0.9644522141735203
6.166666666666666,0.9664670743363962
6.333333333333333,0.9674584144864239
6.5,0.9699808183164548
6.666666666666666,0.9704252762839238
6.833333333333333,0.9721257695437068
7.0,0.9737846133195058
