market,kurtosis,vol_clust,leverage
au_asx200,11.230617065742383,0.30182539726930974,-0.1226405635830843
br_b3,246.5807784489713,0.1261645683236264,-0.0618228966809084
ca_tsx60,20.664036051607866,0.33181086478601995,-0.09938427289122931
ch_smi,25.294921254636765,0.251141396563259,-0.14937008877670627
crypto,11.0877490261996,0.21105755482895897,-0.09270995307606263
de_dax,7.314700949970167,0.21565775188386035,-0.12069833579724186
es_ibex35,13.608959510151118,0.17762258017503754,-0.09950698169159158
eu_stoxx50,7.987134690554999,0.20917953072348,-0.12371580311141354
fr_cac40,7.086428763681315,0.21699799157010627,-0.10205328715749672
hk_hsi,6.743356298943647,0.20382013746481986,-0.10129735345980287
in_nifty50,417.34196267730175,0.3919904624463075,0.1439377908674813
it_ftsemib,9.503172545458154,0.2323371799979624,-0.14200236809447594
jp_largecap,8.067966120350876,0.23691643258159475,-0.10734739651245806
kr_kospi200,9.881669746187669,0.2556306190168056,-0.14862159554894733
nl_aex,6.654444163761367,0.2460936961720011,-0.1183124918371243
se_omx30,6.7058348090527105,0.22828151569403804,-0.12657574747627923
sg_sti,18.19996499977761,0.23941217127095016,-0.06151241008157514
uk_ftse100,8.818595009189135,0.2595078138841494,-0.11517987904124413
uk_ftse250,30.974143888402907,0.26778195509927755,-0.1197285906238203
us_sp400_mid,10.36697976628416,0.31132681308044596,-0.10154172876955186
us_sp500,11.481330512146831,0.30400223395745984,-0.11317733033176211
us_sp600_small,9.826879567913217,0.3078084259038631,-0.09052642637745388
world_indices,10.203296938941328,0.2542528059585821,-0.14100907067045249
