lam_f,lam_b,d_lam,dR_jump,max_gap,area,R_end,rho_spearman,rho_pearson,tag,topo,law,c,sigma,seed,n_nodes,mean_deg
4.2,4.2,0.0,0.05313179113747486,0.022212694094380314,0.02866084295814296,0.7274927222247515,-0.0013726723346994619,-0.04287056190311346,A,sf,lorentz,0.0,0.0,31,600,5.053333333333334
4.3,4.4,-0.10000000000000053,0.056363986935867375,0.022811592853813317,0.022991736308252693,0.6939961497018584,-0.05495442794064984,0.029235374315269222,A,sf,lorentz,0.0,0.0,32,600,5.256666666666667
3.8000000000000003,3.8000000000000003,0.0,0.043150939823020096,0.04866331758564052,0.03552261007388584,0.6841980743408985,-0.039429662200877166,-0.0028910259869735612,A,sf,lorentz,0.0,0.0,33,600,4.676666666666667
7.300000000000001,7.0,0.3000000000000007,0.5103534057649057,0.5146942962989509,0.28414852768502463,0.6850476186751854,0.9771008890953105,0.7605644442553281,A,sf,lorentz,1.0,0.0,31,600,5.053333333333334
7.9,6.9,1.0,0.39704678626690465,0.5466081234189861,0.6499045576219435,0.6371298129647701,0.9742690334024974,0.7690395526156023,A,sf,lorentz,1.0,0.0,32,600,5.256666666666667
,,,0.054370249078839285,0.06419284118955994,0.0652751846051438,0.06549146752922862,0.9732394509962062,0.7618766734558192,A,sf,lorentz,1.0,0.0,33,600,4.676666666666667
3.0,3.0,0.0,0.07749138300596342,0.1773713216379215,0.08478178209847129,0.9465058751573939,-0.0056946017614903045,-0.04559374307248888,A,sf,bimodal,0.0,0.0,31,600,5.053333333333334
3.0,3.0,0.0,0.09205202384874667,0.1253677176530626,0.06105058000966444,0.9290374278498862,0.0702735051010377,0.08280000330010748,A,sf,bimodal,0.0,0.0,32,600,5.256666666666667
2.8000000000000003,2.9000000000000004,-0.10000000000000009,0.08514883596666137,0.10802898242564435,0.056748963031995135,0.9454348942035564,0.034588645159674206,0.05245771961332762,A,sf,bimodal,0.0,0.0,33,600,4.676666666666667
2.7,2.6,0.10000000000000009,0.17558726040903017,0.22750850535468603,0.048295944836636004,0.9447909707086404,0.9771123055384189,0.4719439478870093,A,sf,bimodal,1.0,0.0,31,600,5.053333333333334
2.7,2.7,0.0,0.13754274608807485,0.1988779620506337,0.05076371098369073,0.9278452078089166,0.9742892127646898,0.42488915371845865,A,sf,bimodal,1.0,0.0,32,600,5.256666666666667
2.6,2.8000000000000003,-0.20000000000000018,0.17821884038369692,0.26615314039116933,0.06917169044624637,0.9240920981128663,0.973262051098464,0.4274551055182761,A,sf,bimodal,1.0,0.0,33,600,4.676666666666667
3.8000000000000003,4.0,-0.19999999999999973,0.40868168742544375,0.4630848115379994,0.2484170742180534,0.9188512770837032,-0.03881282129881288,-0.03692616666552309,A,ws,gauss,0.0,0.0,31,600,6.0
4.6000000000000005,4.5,0.10000000000000053,0.16154541969130576,0.2005044014803145,0.18564613172550914,0.8974418949967805,-0.010467724123138988,0.002648870050276668,A,ws,gauss,0.0,0.0,32,600,6.0
4.7,4.6000000000000005,0.09999999999999964,0.2110968794458537,0.20257423807211491,0.1961482009559842,0.7616315521023747,0.015484110983010986,0.027205782112677882,A,ws,gauss,0.0,0.0,33,600,6.0
4.2,5.2,-1.0,0.3137457119920447,0.22943029345262103,0.2387511873107276,0.9020301832777508,0.8824814583722997,0.9128433831380822,A,ws,gauss,1.0,0.0,31,600,6.0
4.1000000000000005,4.3,-0.1999999999999993,0.31986542503794035,0.21012329977345584,0.11673035893851133,0.9232414816217643,0.8960053832081075,0.9243440593590915,A,ws,gauss,1.0,0.0,32,600,6.0
5.300000000000001,5.800000000000001,-0.5,0.27414441785354177,0.16749871026985097,0.19999089603062303,0.8405696854367147,0.8575050620435806,0.8973020099393261,A,ws,gauss,1.0,0.0,33,600,6.0
3.7,4.1000000000000005,-0.40000000000000036,0.44059819416137425,0.6086781395546975,0.3337883877194158,0.9266301329595051,-0.03881282129881288,-0.0424919384284688,A,ws,uniform,0.0,0.0,31,600,6.0
4.3,4.800000000000001,-0.5000000000000009,0.23941199286900872,0.25013973524240424,0.15699669057322807,0.8826069406635165,-0.010467724123138988,-0.008054260471025938,A,ws,uniform,0.0,0.0,32,600,6.0
4.1000000000000005,4.800000000000001,-0.7000000000000002,0.25135246819997836,0.28086263580839876,0.20764406900833665,0.774105148782783,0.015484110983010986,0.02721268119010221,A,ws,uniform,0.0,0.0,33,600,6.0
3.8000000000000003,4.800000000000001,-1.0000000000000004,0.1994895456183145,0.24740301526211833,0.23121776585747097,0.8818971001910987,0.8824814583722997,0.8611830065092656,A,ws,uniform,1.0,0.0,31,600,6.0
4.4,4.800000000000001,-0.40000000000000036,0.39027495282943775,0.3103208764747786,0.2525486885559806,0.8948295901726062,0.8960053832081075,0.8708195354269078,A,ws,uniform,1.0,0.0,32,600,6.0
5.1000000000000005,5.6000000000000005,-0.5,0.28605571290392146,0.24746002429975572,0.23712028899637472,0.8317484560311984,0.8575050620435806,0.8329946359925027,A,ws,uniform,1.0,0.0,33,600,6.0
,,,0.16696808953074957,0.11629889361109715,0.13065591335993232,0.18508814886422853,-0.03874870887745396,-0.02090297523842244,A,ws,lorentz,0.0,0.0,31,600,6.0
,,,0.13310316977085335,0.1250881849267053,0.10246425730006004,0.1876366666164486,-0.010536078019822438,0.006607979445103138,A,ws,lorentz,0.0,0.0,32,600,6.0
,,,0.16614622899512577,0.14892029741743584,0.12733135619596167,0.31583767050147254,0.015477809238233838,0.012691756782064814,A,ws,lorentz,0.0,0.0,33,600,6.0
