t,order
15.65,0.334047
15.7,0.334038
15.75,0.334196
15.8,0.334527
15.85,0.335037
15.9,0.335727
15.95,0.336592
16,0.337617
16.05,0.338776
16.1,0.340032
16.15,0.341342
16.2,0.342659
16.25,0.343936
16.3,0.345136
16.35,0.346229
16.4,0.347198
16.45,0.348036
16.5,0.348747
16.55,0.349341
16.6,0.349836
16.65,0.350249
16.7,0.350601
16.75,0.350911
16.8,0.351196
16.85,0.35147
16.9,0.351745
16.95,0.352029
17,0.352329
17.05,0.352647
17.1,0.352985
17.15,0.353344
17.2,0.353721
17.25,0.354115
17.3,0.354521
17.35,0.354933
17.4,0.355344
17.45,0.355747
17.5,0.356131
17.55,0.356487
17.6,0.356807
17.65,0.357084
17.7,0.357314
17.75,0.357498
17.8,0.35764
17.85,0.357746
17.9,0.357827
17.95,0.357892
18,0.35795
18.05,0.358008
18.1,0.358072
18.15,0.358142
18.2,0.358221
18.25,0.358309
18.3,0.35841
18.35,0.358532
18.4,0.358688
18.45,0.358893
18.5,0.359171
18.55,0.359544
18.6,0.360039
18.65,0.360676
18.7,0.361475
18.75,0.362446
18.8,0.363593
18.85,0.364909
18.9,0.366379
18.95,0.367978
19,0.369678
19.05,0.371441
19.1,0.373232
19.15,0.375014
19.2,0.376752
19.25,0.378416
19.3,0.379981
19.35,0.381425
19.4,0.382731
19.45,0.383887
19.5,0.384884
19.55,0.385715
19.6,0.386376
19.65,0.386864
19.7,0.387177
19.75,0.387315
19.8,0.387279
19.85,0.387071
19.9,0.386697
19.95,0.386164
20,0.385484
20.05,0.374187
20.1,0.362833
20.15,0.351455
20.2,0.340089
20.25,0.328769
20.3,0.317525
20.35,0.306388
20.4,0.295385
20.45,0.284541
20.5,0.273879
20.55,0.263422
20.6,0.253187
20.65,0.243193
20.7,0.233455
20.75,0.223989
20.8,0.214807
20.85,0.205921
20.9,0.197341
20.95,0.189075
21,0.181128
21.05,0.1735
21.1,0.166188
21.15,0.159184
21.2,0.152476
21.25,0.146046
21.3,0.139871
21.35,0.133926
21.4,0.128182
21.45,0.12261
21.5,0.117178
21.55,0.111859
21.6,0.106626
21.65,0.101458
21.7,0.0963366
21.75,0.0912506
21.8,0.0861939
21.85,0.0811668
21.9,0.0761755
21.95,0.0712323
22,0.0663552
22.05,0.0615674
22.1,0.0568968
22.15,0.0523762
22.2,0.0480424
22.25,0.0439364
22.3,0.0401029
22.35,0.0365899
22.4,0.033447
22.45,0.0307231
22.5,0.0284607
22.55,0.0266887
22.6,0.0254135
22.65,0.0246123
22.7,0.024232
22.75,0.0241964
22.8,0.0244171
22.85,0.024806
22.9,0.0252838
22.95,0.0257847
23,0.0262576
23.05,0.0266658
23.1,0.0269864
23.15,0.0272096
23.2,0.027338
23.25,0.0273879
23.3,0.0273892
23.35,0.0273864
23.4,0.0274387
23.45,0.0276184
23.5,0.0280068
23.55,0.0286867
23.6,0.0297332
23.65,0.0312034
23.7,0.0331301
23.75,0.0355196
23.8,0.0383552
23.85,0.0416035
23.9,0.0452205
23.95,0.0491576
24,0.0533649
24.05,0.0577934
24.1,0.0623964
24.15,0.0671298
24.2,0.071952
24.25,0.0768238
24.3,0.0817084
24.35,0.0865712
24.4,0.0913793
24.45,0.096102
24.5,0.10071
24.55,0.105178
24.6,0.109479
24.65,0.113592
24.7,0.117498
24.75,0.121178
24.8,0.12462
24.85,0.127813
24.9,0.130749
24.95,0.133423
25,0.135835
25.05,0.137984
25.1,0.139875
25.15,0.141512
25.2,0.142903
25.25,0.144054
25.3,0.144976
25.35,0.145678
25.4,0.146168
25.45,0.146457
25.5,0.146555
25.55,0.14647
25.6,0.146212
25.65,0.145789
25.7,0.145208
25.75,0.144476
25.8,0.143599
25.85,0.142582
25.9,0.141427
25.95,0.140137
26,0.138714
26.05,0.13716
26.1,0.135474
26.15,0.133656
26.2,0.131708
26.25,0.12963
26.3,0.127425
26.35,0.125095
26.4,0.122645
26.45,0.12008
26.5,0.117408
26.55,0.114635
26.6,0.111772
26.65,0.108829
26.7,0.105817
26.75,0.102748
26.8,0.0996354
26.85,0.0964932
26.9,0.093336
26.95,0.0901791
27,0.0870388
27.05,0.0839326
27.1,0.0808787
27.15,0.0778965
27.2,0.0750068
27.25,0.0722313
27.3,0.0695928
27.35,0.0671153
27.4,0.0648226
27.45,0.0627385
27.5,0.0608851
27.55,0.0592817
27.6,0.0579432
27.65,0.0568781
27.7,0.0560876
27.75,0.055564
27.8,0.0552906
27.85,0.0552424
27.9,0.0553872
27.95,0.0556881
28,0.0561049
28.05,0.0565977
28.1,0.0571281
28.15,0.0576614
28.2,0.058168
28.25,0.0586244
28.3,0.0590131
28.35,0.0593237
28.4,0.0595523
28.45,0.0597015
28.5,0.0597803
28.55,0.0598039
28.6,0.0597931
28.65,0.0597745
28.7,0.0597793
28.75,0.0598432
28.8,0.0600055
28.85,0.0603073
28.9,0.0607905
28.95,0.0614956
29,0.0624594
29.05,0.0637132
29.1,0.0652801
29.15,0.0671739
29.2,0.0693982
29.25,0.0719456
29.3,0.0747984
29.35,0.0779299
29.4,0.0813055
29.45,0.084884
29.5,0.0886202
29.55,0.0924655
29.6,0.0963702
29.65,0.100285
29.7,0.10416
29.75,0.107951
29.8,0.111614
29.85,0.115109
29.9,0.118403
29.95,0.121463
30,0.124264
30.05,0.126786
30.1,0.129013
30.15,0.130933
30.2,0.132539
30.25,0.13383
30.3,0.134809
30.35,0.135483
30.4,0.135862
30.45,0.135961
30.5,0.135799
30.55,0.135397
30.6,0.134778
30.65,0.133969
30.7,0.132998
30.75,0.131893
30.8,0.130685
30.85,0.129403
30.9,0.128077
30.95,0.126736
31,0.12541
31.05,0.124125
31.1,0.122907
31.15,0.121779
31.2,0.120764
31.25,0.11988
31.3,0.119145
31.35,0.118571
31.4,0.118171
31.45,0.11795
31.5,0.117916
31.55,0.118067
31.6,0.118404
31.65,0.11892
31.7,0.119609
31.75,0.120459
31.8,0.121458
31.85,0.12259
31.9,0.123836
31.95,0.125177
32,0.126591
32.05,0.128055
32.1,0.129546
32.15,0.131038
32.2,0.132507
32.25,0.133929
32.3,0.135279
32.35,0.136534
32.4,0.137673
32.45,0.138676
32.5,0.139523
32.55,0.140198
32.6,0.140687
32.65,0.140977
32.7,0.141057
32.75,0.14092
32.8,0.140559
32.85,0.139971
32.9,0.139154
32.95,0.138108
33,0.136835
33.05,0.135339
33.1,0.133626
33.15,0.131701
33.2,0.129574
33.25,0.127253
33.3,0.124748
33.35,0.122069
33.4,0.119227
33.45,0.11623
33.5,0.113091
33.55,0.109817
33.6,0.106418
33.65,0.102904
33.7,0.0992826
33.75,0.0955627
33.8,0.0917528
33.85,0.0878621
33.9,0.0838998
33.95,0.0798758
34,0.0758005
34.05,0.0716849
34.1,0.0675403
34.15,0.0633787
34.2,0.0592123
34.25,0.0550542
34.3,0.0509185
34.35,0.046821
34.4,0.0427805
34.45,0.0388209
34.5,0.0349746
34.55,0.031287
34.6,0.027825
34.65,0.0246881
34.7,0.0220208
34.75,0.0200186
34.8,0.0189016
34.85,0.0188354
34.9,0.0198355
34.95,0.0217569
35,0.0243793
35.05,0.0274937
35.1,0.0309371
35.15,0.0345904
35.2,0.0383672
35.25,0.0422023
35.3,0.0460446
35.35,0.0498519
35.4,0.0535884
35.45,0.0572231
35.5,0.0607287
35.55,0.0640814
35.6,0.0672608
35.65,0.0702501
35.7,0.0730355
35.75,0.0756067
35.8,0.0779567
35.85,0.0800818
35.9,0.0819813
35.95,0.0836574
36,0.0851154
36.05,0.0863628
36.1,0.0874099
36.15,0.0882692
36.2,0.0889557
36.25,0.0894861
36.3,0.0898792
36.35,0.0901553
36.4,0.0903359
36.45,0.0904431
36.5,0.090499
36.55,0.0905248
36.6,0.0905405
36.65,0.0905635
36.7,0.0906086
36.75,0.0906876
36.8,0.0908084
36.85,0.0909761
36.9,0.0911925
36.95,0.0914571
37,0.0917677
37.05,0.0921209
37.1,0.092513
37.15,0.0929406
37.2,0.093401
37.25,0.0938929
37.3,0.0944162
37.35,0.0949723
37.4,0.0955637
37.45,0.0961941
37.5,0.0968679
37.55,0.0975895
37.6,0.0983629
37.65,0.0991907
37.7,0.100074
37.75,0.10101
37.8,0.101994
37.85,0.103017
37.9,0.104064
37.95,0.105117
38,0.106154
38.05,0.107148
38.1,0.10807
38.15,0.108887
38.2,0.109568
38.25,0.11008
38.3,0.110392
38.35,0.110475
38.4,0.110305
38.45,0.109861
38.5,0.109127
38.55,0.108094
38.6,0.106756
38.65,0.105115
38.7,0.103177
38.75,0.100953
38.8,0.0984593
38.85,0.095717
38.9,0.0927502
38.95,0.0895866
39,0.0862568
39.05,0.0827936
39.1,0.0792316
39.15,0.0756069
39.2,0.071956
39.25,0.0683159
39.3,0.0647234
39.35,0.0612145
39.4,0.0578237
39.45,0.0545838
39.5,0.0515249
39.55,0.0486735
39.6,0.046052
39.65,0.0436772
39.7,0.0415597
39.75,0.039703
39.8,0.0381031
39.85,0.0367489
39.9,0.0356225
39.95,0.034701
40,0.0339581
40.05,0.0333661
40.1,0.0328975
40.15,0.0325267
40.2,0.0322312
40.25,0.0319924
40.3,0.0317953
40.35,0.0316296
40.4,0.031489
40.45,0.0313712
40.5,0.0312777
40.55,0.0312137
40.6,0.0311878
40.65,0.0312116
40.7,0.0312992
40.75,0.031467
40.8,0.0317328
40.85,0.0321153
40.9,0.032633
40.95,0.0333037
41,0.0341433
41.05,0.0351654
41.1,0.0363803
41.15,0.037795
41.2,0.0394128
41.25,0.0412331
41.3,0.0432518
41.35,0.0454613
41.4,0.0478511
41.45,0.0504078
41.5,0.0531157
41.55,0.0559575
41.6,0.0589143
41.65,0.0619661
41.7,0.0650928
41.75,0.0682736
41.8,0.0714885
41.85,0.0747178
41.9,0.0779427
41.95,0.0811455
42,0.0843097
42.05,0.0874201
42.1,0.0904633
42.15,0.0934271
42.2,0.0963009
42.25,0.0990757
42.3,0.101744
42.35,0.104299
