comovement,n_crash,median_gap_crash,ci_lo,ci_hi,share_crashes_gap_positive,n_placebo,median_gap_placebo,crash_minus_placebo,p_perm_one_sided,positive_control_planted,positive_control_recovered,positive_control_ci_lo,positive_control_ci_hi
mean_corr,335,0.0005537196492606533,-0.012208486023171542,0.012122770653434109,0.5044776119402985,59,0.0008885929067082524,-0.0003348732574475991,0.532,0.03,0.030553719649260597,0.017075096491889506,0.04243069057372822
absorption,335,0.0028347745579736746,-0.012917848314885905,0.014020858720384409,0.5343283582089552,59,0.00776583707247473,-0.0049310625145010546,0.7698,0.03,0.03283477455797367,0.01736717111074833,0.044684736092550664
flicker,335,0.0031189828995642718,-0.008882651626959078,0.012112930180306042,0.5194029850746269,59,0.009837688131679005,-0.006718705232114734,0.7728,0.03,0.03311898289956427,0.02111474426849279,0.042112930180306096
