market,kind,seed,lam_f,lam_b,d_lam,max_gap,dR_jump
us_sp500,corr,71,2.5,2.9000000000000004,-0.40000000000000036,0.2698413947696985,0.3551052973007532
us_sp500,corr,72,2.7,2.7,0.0,0.09784164788575908,0.15610118223842595
us_sp500,leadlag,71,2.3,2.3,0.0,0.3158129805410286,0.25693222433587337
us_sp500,leadlag,72,2.3,2.3,0.0,0.41365294114180473,0.45249180943863293
uk_ftse100,corr,71,2.3,2.3,0.0,0.06284289482415228,0.3146209575479557
uk_ftse100,corr,72,2.3,2.3,0.0,0.25716729406134764,0.3364678339983297
uk_ftse100,leadlag,71,2.9000000000000004,2.9000000000000004,0.0,0.024113489192239823,0.3605593773794633
uk_ftse100,leadlag,72,2.9000000000000004,2.9000000000000004,0.0,0.005335372061522015,0.22851282624562086
synthetic,synthetic ER,71,3.9000000000000004,3.3,0.6000000000000005,0.7808148660495703,0.7423058099491948
synthetic,synthetic ER,72,4.300000000000001,3.3,1.0000000000000009,0.8043593547749581,0.7939932167043422
synthetic,synthetic BA,71,3.3,2.9000000000000004,0.39999999999999947,0.43698695678202243,0.4688870670120236
synthetic,synthetic BA,72,3.5,2.9000000000000004,0.5999999999999996,0.5662224086747563,0.623808471959846
