kind,lag,mean_corr,vol
crash onset,-60,0.18244109621082022,0.0027708735838817564
crash onset,-55,0.18370258465669717,0.002850786365443493
crash onset,-50,0.17891526884433276,0.0028209602363203005
crash onset,-45,0.18317282839125856,0.0028365011666195514
crash onset,-40,0.1664604783687668,0.0025221471505381854
crash onset,-35,0.16227786730096466,0.0026630156257711336
crash onset,-30,0.14553475358663076,0.002580535384049909
crash onset,-25,0.16466233666295366,0.0026375621792767987
crash onset,-20,0.20711118550452065,0.003494123296556369
crash onset,-15,0.19507040522162256,0.0033718880550698063
crash onset,-10,0.21820061929669327,0.0033753509984865847
crash onset,-5,0.20599176770756883,0.0033097634952461517
crash onset,0,0.18369432944506514,0.0032662948241194314
crash onset,5,0.15999520856502294,0.0032226039547422294
crash onset,10,0.16816134952284584,0.003362938229332116
crash onset,15,0.2349681341727997,0.004902680596672076
crash onset,20,0.34276572669420674,0.006288970303937955
crash onset,25,0.3538171522485794,0.00636217267912191
crash onset,30,0.36798206374767767,0.006623532853498304
crash onset,35,0.37913135115340285,0.006794710920236021
crash onset,40,0.38340800265437047,0.0068581587446703935
crash onset,45,0.40401574764926856,0.006862673159117628
crash onset,50,0.3940962535311501,0.006900139230558001
crash onset,55,0.41082619117155555,0.006901260536172179
crash onset,60,0.4359725141162688,0.006800844943784302
crash onset,-60,0.22854044786676503,0.002900256805901408
crash onset,-55,0.12832608414306038,0.0019883553855075888
crash onset,-50,0.1351456389406219,0.0020107196049593593
crash onset,-45,0.11180093010001464,0.0018748462915954337
crash onset,-40,0.14657379278499677,0.002224034977004906
crash onset,-35,0.17979164091156924,0.002334339291938381
crash onset,-30,0.20146024766145068,0.0024648905970611895
crash onset,-25,0.20932926340521657,0.0024580069859116774
crash onset,-20,0.2117478019051916,0.0020889673526134456
crash onset,-15,0.24237520811715552,0.002265807313651658
crash onset,-10,0.2535891646223312,0.0024951621763641
crash onset,-5,0.2820243093646392,0.002657625281808256
crash onset,0,0.29610824311833955,0.002669285658002922
crash onset,5,0.27220705262693085,0.0030074960995318287
crash onset,10,0.2661853049186915,0.0030244812105670485
crash onset,15,0.25007514681985793,0.002999074227457617
crash onset,20,0.24196099259430356,0.002796031859639422
crash onset,25,0.24133767888120708,0.0029805527169027863
crash onset,30,0.24100054345348068,0.0031066310226960593
crash onset,35,0.2515511359447212,0.003183964845983181
crash onset,40,0.248777260843473,0.0033707811371037847
crash onset,45,0.32525198695851726,0.0039507802652558694
crash onset,50,0.33185145719915915,0.003909744542089746
crash onset,55,0.31901651010978976,0.0038561790808689235
crash onset,60,0.3133509777170359,0.003913085983875633
crash onset,-60,0.1184373823930985,0.0021095174918249458
crash onset,-55,0.10948217875867998,0.0021352806238272852
crash onset,-50,0.12607088151727724,0.002378336146561346
crash onset,-45,0.12410435282855473,0.0023184630258662325
crash onset,-40,0.12903802469626147,0.0025665186631015553
crash onset,-35,0.1352432235785076,0.0026253766833170236
crash onset,-30,0.13391665560490662,0.0025845631914494177
crash onset,-25,0.0959368180809732,0.0024074990112783416
crash onset,-20,0.0805686804307523,0.0024748164805442124
crash onset,-15,0.09144247018166757,0.0024338357564003808
crash onset,-10,0.10985781576606415,0.0025562393702999405
crash onset,-5,0.1257021418999739,0.002753769025715127
crash onset,0,0.1521478056217315,0.0030411444153965158
crash onset,5,0.21818574396138224,0.004248708672072986
crash onset,10,0.21716975460806884,0.004338760927804949
crash onset,15,0.24110003867833518,0.004624886869299309
crash onset,20,0.26137858121075497,0.004734608924172472
crash onset,25,0.28217730001665114,0.004869217060771883
crash onset,30,0.2782709909318008,0.005149631798086939
crash onset,35,0.26198764137953395,0.005239022646443812
crash onset,40,0.2740540535659478,0.005328970100076164
crash onset,45,0.29009929823820957,0.005475476762600374
crash onset,50,0.2719200499936377,0.005492017187828815
crash onset,55,0.2644749889352864,0.0054220647247708986
crash onset,60,0.25283653435508807,0.005244448826309419
crash onset,-60,0.24684728382335827,0.0035848957534190835
crash onset,-55,0.2648302542740154,0.0035024426960710594
crash onset,-50,0.26551112692983064,0.0037093577860510267
crash onset,-45,0.284656467827675,0.0036267315654574914
crash onset,-40,0.29278078323475815,0.0035474733216979528
crash onset,-35,0.27712263432248296,0.0035593631496372872
crash onset,-30,0.24873584829109577,0.003249961651740965
crash onset,-25,0.23896564822999716,0.0031544330425641695
crash onset,-20,0.24479091280861837,0.0032419746804773146
crash onset,-15,0.21547976837612146,0.003329180135533525
crash onset,-10,0.2485326777174616,0.0035309676011102825
crash onset,-5,0.2834749498259821,0.003839402024298734
crash onset,0,0.2858284496636134,0.003910755215286817
crash onset,5,0.30778638766003585,0.00637578666529777
crash onset,10,0.30776155799857097,0.0062035819091812265
crash onset,15,0.41648562973609227,0.00878938279925897
crash onset,20,0.44091960173722594,0.009144548074102482
crash onset,25,0.4610491944745097,0.010240438315087039
crash onset,30,0.5238295348951559,0.010772040494604123
crash onset,35,0.5063367592085312,0.012765476743251231
crash onset,40,0.5783432350657265,0.013792653473037573
crash onset,45,0.6148666149768129,0.014368613324693613
