market,onset,es_proximity,collapse_time,recovery_time,R_mean,n_stocks,year,is_2008
au_asx200,2007-07-24,-0.27555108056521904,6.021023349349527,4.477336814478207,0.29028281733789985,114,2007,True
au_asx200,2008-05-19,-0.050274109912939124,5.3230099791384085,5.68697535633982,0.363243677553657,120,2008,True
au_asx200,2009-01-07,1.034513537597805,3.7376696182833684,2.9444389791664403,0.35110674603565045,126,2009,True
au_asx200,2010-04-15,-0.28111426602587297,3.9889840465642745,3.9512437185814275,0.2982330129955807,127,2010,False
au_asx200,2011-07-08,-0.43190080501352845,4.007333185232471,4.7535901911063645,0.33470541587216257,132,2011,False
au_asx200,2012-05-02,0.09730834118419862,4.07753744390572,4.727387818712341,0.40756451236232183,138,2012,False
au_asx200,2013-05-14,1.3953112607918037,3.367295829986474,4.219507705176107,0.29881015377808984,142,2013,False
au_asx200,2015-07-21,-1.0398099980811844,3.1780538303479458,3.784189633918261,0.34503299033641976,146,2015,False
au_asx200,2020-02-20,-1.2867491903233643,3.091042453358316,5.099866427824199,0.32746648255009764,146,2020,False
br_b3,2002-08-29,-0.0623261809100466,5.69035945432406,3.1780538303479458,0.40373428406327927,25,2002,False
br_b3,2004-01-26,-0.10483471362742991,5.916202062607435,3.970291913552122,0.31320907075683607,27,2004,False
br_b3,2005-03-07,-0.7099402376763786,4.442651256490317,4.836281906951478,0.40162236712831867,27,2005,False
br_b3,2005-10-03,-0.9561693342756561,2.4849066497880004,2.8903717578961645,0.39572606707799574,28,2005,False
br_b3,2006-05-09,-0.3711584587534582,5.5254529391317835,4.672828834461906,0.4033484272933337,31,2006,False
br_b3,2007-02-22,0.1918198405663798,6.030685260261263,4.430816798843313,0.3915568591573257,33,2007,True
br_b3,2007-12-06,-0.1304071348278728,5.393627546352362,5.634789603169249,0.4381654592518066,33,2007,True
br_b3,2009-01-06,-0.0174031421909695,3.6109179126442243,3.1354942159291497,0.4760120466288811,44,2009,True
br_b3,2009-10-19,0.39604506615523327,6.100318952020064,2.833213344056216,0.4694565786092827,47,2009,True
br_b3,2011-01-12,-0.6168640007149282,4.955827057601261,4.941642422609304,0.3782992887926872,50,2011,False
br_b3,2011-09-01,-0.7263647704221925,3.091042453358316,4.110873864173311,0.388282862163751,52,2011,False
br_b3,2012-03-13,-0.6310454987259884,4.060443010546419,4.23410650459726,0.4218718768703758,53,2012,False
br_b3,2013-05-22,-1.2062025151296427,6.042632833682381,4.3694478524670215,0.3503129138801519,55,2013,False
br_b3,2014-09-02,-0.3242048935264723,5.840641657373398,5.049856007249537,0.4193733798705451,55,2014,False
br_b3,2015-11-24,0.3856933445436854,3.6888794541139363,3.258096538021482,0.42430402649868826,55,2015,False
br_b3,2016-10-31,-0.7758295599358465,3.5263605246161616,2.772588722239781,0.4600673454228377,55,2016,False
br_b3,2017-05-16,0.13656594899903585,1.3862943611198906,4.007333185232471,0.4474024774790663,55,2017,False
br_b3,2018-05-16,-0.17487039701666474,3.091042453358316,4.3694478524670215,0.4170311565105097,55,2018,False
br_b3,2020-01-23,0.3355956724708551,3.6888794541139363,5.556828061699537,0.45275791710923924,55,2020,False
br_b3,2021-10-15,0.695689387750738,5.8805329864007,4.955827057601261,0.491260267242345,55,2021,False
br_b3,2022-06-02,0.09366755691230111,5.308267697401205,5.236441962829949,0.5130457508124626,55,2022,False
br_b3,2026-04-14,3.8742229655352816,4.465908118654584,3.044522437723423,0.5084535311506808,55,2026,False
ca_tsx60,2002-08-22,-0.413176831226286,3.5263605246161616,3.828641396489095,0.3191917353779685,39,2002,False
ca_tsx60,2007-07-19,-0.8701109695344296,6.016157159698354,4.499809670330265,0.3749912849342738,45,2007,True
ca_tsx60,2008-06-18,-0.1937621349845866,5.19295685089021,5.327876168789581,0.4246522763898012,45,2008,True
ca_tsx60,2009-01-06,-0.3227324435570895,3.7612001156935624,3.4657359027997265,0.44264703189882487,47,2009,True
ca_tsx60,2011-07-22,-1.376492717778367,3.912023005428146,4.962844630259907,0.3859025657419891,51,2011,False
ca_tsx60,2014-09-03,0.3549801604865297,5.846438775057725,2.995732273553991,0.3678798186554206,52,2014,False
ca_tsx60,2020-02-20,-0.7653226100980066,3.091042453358316,5.204006687076795,0.3427462060365239,52,2020,False
ca_tsx60,2022-03-29,-1.6064414036894803,4.820281565605037,4.382026634673881,0.3783439290849777,52,2022,False
ch_smi,2002-05-16,-1.6645875387664975,5.365976015021851,5.655991810819852,0.4478062029263744,17,2002,False
ch_smi,2002-11-27,-1.2332817405522334,4.31748811353631,4.61512051684126,0.5159030854003469,17,2002,False
ch_smi,2006-05-09,0.12437651651923254,3.2188758248682006,4.2626798770413155,0.4731567713203886,17,2006,False
ch_smi,2007-10-11,-1.5214580404756914,5.869296913133774,4.983606621708336,0.5611766822086939,18,2007,True
ch_smi,2008-05-19,-0.18376054293225286,5.3230099791384085,5.68697535633982,0.6511057686206538,18,2008,True
ch_smi,2010-04-15,-1.6564544811922064,5.814130531825066,5.10594547390058,0.5265437137420927,18,2010,False
ch_smi,2011-02-18,0.9488364052073939,4.770684624465665,5.849324779946859,0.5719549877341431,18,2011,False
ch_smi,2013-05-22,-0.5540749851096063,3.1354942159291497,3.4965075614664802,0.5644795732546627,18,2013,False
ch_smi,2015-01-13,-0.27281844236908936,1.0986122886681098,3.6375861597263857,0.5665817646442081,18,2015,False
ch_smi,2015-08-05,0.8142025843259972,4.882801922586371,4.795790545596741,0.6267887939646148,18,2015,False
ch_smi,2018-12-03,-1.2576484568897883,2.70805020110221,3.2188758248682006,0.6284652449176417,18,2018,False
ch_smi,2020-02-19,1.1256486640319086,3.1354942159291497,5.056245805348308,0.5790162775183672,18,2020,False
ch_smi,2025-03-03,-0.5124755314049674,3.295836866004329,5.627621113690637,0.5189852461624432,18,2025,False
ch_smi,2026-02-27,1.6336180193267245,2.70805020110221,2.8903717578961645,0.45684018884124183,18,2026,False
crypto,2018-11-07,-0.3211974382472147,6.20455776256869,1.6094379124341003,0.7219967077753009,24,2018,False
crypto,2020-02-12,1.2294974851470828,3.4965075614664802,4.912654885736052,0.6367361649686956,29,2020,False
crypto,2021-05-08,-1.501683651724081,6.0063531596017325,4.543294782270004,0.6296633991271327,34,2021,False
crypto,2021-12-24,1.9040338831077168,5.918893854273146,4.852030263919617,0.7404233581120492,34,2021,False
crypto,2022-05-31,-0.6114848845356367,6.148468295917647,3.4657359027997265,0.7687224369465333,34,2022,False
crypto,2026-01-14,-1.4855763487411227,5.365976015021851,3.4657359027997265,0.7796569072741442,34,2026,False
de_dax,2002-03-19,1.0687544757733267,5.545177444479562,5.497168225293202,0.43668946117695834,29,2002,False
de_dax,2002-12-02,-0.19163655849048888,4.276666119016055,4.430816798843313,0.5227721660665465,30,2002,False
de_dax,2003-09-04,1.6188789408872335,2.8903717578961645,2.70805020110221,0.5453014817850691,30,2003,False
de_dax,2004-03-08,-0.7736980176826038,2.3978952727983707,2.70805020110221,0.4987311159398752,30,2004,False
de_dax,2006-05-09,-1.83602638069101,3.258096538021482,4.532599493153256,0.4675315261526242,31,2006,False
de_dax,2007-07-16,1.7989143531761478,6.042632833682381,4.3694478524670215,0.5083507704795237,31,2007,True
de_dax,2008-02-19,1.7869863913139277,5.5909869805108565,5.44673737166631,0.5458572039260127,32,2008,True
de_dax,2008-08-11,0.3661666972704305,4.990432586778736,5.6131281063880705,0.5366766378976932,32,2008,True
de_dax,2009-06-02,2.2694487250079867,3.332204510175204,1.6094379124341003,0.5586359016756799,32,2009,True
de_dax,2010-01-04,-1.1781728973435872,6.1092475827643655,1.3862943611198906,0.5414360384053264,33,2010,False
de_dax,2011-02-18,0.16872905529935878,5.075173815233827,5.4116460518550396,0.5343896389806337,34,2011,False
de_dax,2011-10-28,-0.06056790603728901,2.8903717578961645,3.6109179126442243,0.5983326301057756,34,2011,False
de_dax,2014-07-03,-1.3476124212582503,4.31748811353631,3.258096538021482,0.5015218869747605,34,2014,False
de_dax,2015-07-20,0.30588914556865543,4.983606621708336,5.5053315359323625,0.6777882991469623,34,2015,False
de_dax,2016-05-30,-1.2333874762154537,2.995732273553991,3.091042453358316,0.7063434573190817,34,2016,False
de_dax,2018-01-23,-0.9328566739587263,5.4638318050256105,5.384495062789089,0.48638077019557596,34,2018,False
de_dax,2020-02-19,1.5130962101394534,2.995732273553991,4.804021044733257,0.5152143164892694,34,2020,False
de_dax,2020-09-16,-0.24081934335160815,3.4657359027997265,1.9459101490553132,0.6165378894603192,34,2020,False
de_dax,2022-06-06,-1.2500692862889127,4.418840607796598,4.2626798770413155,0.5189184473125377,34,2022,False
de_dax,2025-03-06,-1.8784846091358116,3.1780538303479458,2.995732273553991,0.4458724376577111,34,2025,False
de_dax,2026-02-26,-1.48095530042139,2.772588722239781,4.532599493153256,0.4074981074136238,34,2026,False
es_ibex35,2002-08-27,-1.1199087778624828,2.995732273553991,3.828641396489095,0.48801433385398446,16,2002,False
es_ibex35,2006-05-09,0.36615711530205175,3.2188758248682006,3.4657359027997265,0.4815950218621443,20,2006,False
es_ibex35,2007-12-11,0.6782304428628865,5.7430031878094825,5.236441962829949,0.5477804728162858,22,2007,True
es_ibex35,2008-08-11,-1.1674230403475638,4.976733742420574,5.872117789475416,0.5632421079187432,24,2008,True
es_ibex35,2010-01-06,-0.7214070376176456,6.184148890937483,2.70805020110221,0.5611076759184146,26,2010,False
es_ibex35,2010-10-22,-0.5386306316322065,6.021023349349527,4.477336814478207,0.6355914863646773,26,2010,False
es_ibex35,2011-07-01,-1.8852219714639034,5.4638318050256105,5.575949103146316,0.5893256866426975,27,2011,False
es_ibex35,2012-07-03,-1.750019968910133,2.70805020110221,2.302585092994046,0.652160494797408,28,2012,False
es_ibex35,2013-03-14,-1.3134688092773,2.70805020110221,2.8903717578961645,0.5571663650317088,28,2013,False
es_ibex35,2014-09-05,2.133634072384874,5.902633333401366,4.897839799950911,0.539124211467422,28,2014,False
es_ibex35,2015-07-20,-0.377889317388306,4.983606621708336,5.62040086571715,0.6270935060857256,28,2015,False
