market,kind,n,edges,mean_deg,kappa,k_max,cv_k,clustering,assortativity
us_sp500,corr,185,1929,20.854054054054053,1.8496315950294555,88,0.9217546284285506,0.6944174239831675,0.10733616052360573
us_sp500,leadlag,335,2214,13.217910447761193,2.641976532683123,110,1.2813963214724486,0.07689152433170866,-0.35099542545152107
uk_ftse100,corr,65,449,13.815384615384616,1.7508965729336656,54,0.8665428858017737,0.7672366171915698,-0.2375389930604077
uk_ftse100,leadlag,74,450,12.162162162162161,1.3106222222222224,32,0.5573349282273831,0.20004586235998856,-0.14257900875276583
synthetic,synthetic ER,400,2395,11.975,1.085420652803989,23,0.2922681180080866,0.030048304187362273,-0.009469937246865009
synthetic,synthetic BA,400,2364,11.82,1.678412223968667,88,0.8236578318505003,0.08144185490268929,-0.049126818968626244
