kind,event,lag,mean_corr
crash onset,591293,-30,0.5765975713729858
crash onset,591293,-20,0.5403430461883545
crash onset,591293,-10,0.5419525504112244
crash onset,591293,0,0.5330073237419128
crash onset,591293,10,0.5172845721244812
crash onset,591293,20,0.5224280953407288
crash onset,591293,30,0.528717041015625
crash onset,591293,40,0.552730917930603
crash onset,591293,50,0.6212666630744934
crash onset,591293,60,0.6487617492675781
crash onset,591293,70,0.6603888869285583
crash onset,597698,-90,0.3637075424194336
crash onset,597698,-80,0.24490316212177277
crash onset,597698,-70,0.253342866897583
crash onset,597698,-60,0.2773647606372833
crash onset,597698,-50,0.35491588711738586
crash onset,597698,-40,0.37185153365135193
crash onset,597698,-30,0.39422428607940674
crash onset,597698,-20,0.40359845757484436
crash onset,597698,-10,0.4491308629512787
crash onset,597698,0,0.39546406269073486
crash onset,597698,10,0.5681611895561218
crash onset,597698,20,0.5209364891052246
crash onset,597698,30,0.5537621974945068
crash onset,597698,40,0.5103771686553955
crash onset,597698,50,0.5112860202789307
crash onset,597698,60,0.4873236417770386
crash onset,597698,70,0.4112756550312042
crash onset,597698,80,0.3974958062171936
crash onset,597698,90,0.3560519516468048
crash onset,600660,-90,0.4328361451625824
crash onset,600660,-80,0.39986124634742737
crash onset,600660,-70,0.38305017352104187
crash onset,600660,-60,0.3452536165714264
crash onset,600660,-50,0.304436057806015
crash onset,600660,-40,0.34635472297668457
crash onset,600660,-30,0.6281905174255371
crash onset,600660,-20,0.665206253528595
crash onset,600660,-10,0.6914072036743164
crash onset,600660,0,0.616935670375824
crash onset,600660,10,0.5974541306495667
crash onset,600660,20,0.5715149641036987
crash onset,600660,30,0.6318199634552002
crash onset,600660,40,0.6604360342025757
crash onset,600660,50,0.7071698904037476
crash onset,600660,60,0.6412466764450073
crash onset,604251,-10,0.4528253972530365
crash onset,604251,0,0.420047402381897
crash onset,604251,10,0.33390146493911743
crash onset,604251,20,0.3479359745979309
crash onset,604251,30,0.24938015639781952
crash onset,604251,40,0.3250393271446228
crash onset,604251,50,0.34302854537963867
crash onset,604251,60,0.41568467020988464
crash onset,604251,70,0.4601843059062958
crash onset,604251,80,0.44637033343315125
crash onset,604251,90,0.4630928337574005
crash onset,842656,-90,0.3840411603450775
crash onset,842656,-80,0.5053110122680664
crash onset,842656,-70,0.5074036121368408
