detector,budget,threshold
mean_corr,0.01,0.6576420068740845
mean_corr,0.02,0.6077505946159363
mean_corr,0.05,0.5297573804855347
mean_corr,0.1,0.4570663869380951
volatility,0.01,0.002407068624385018
volatility,0.02,0.0018419769000449892
volatility,0.05,0.0012061822989527181
volatility,0.1,0.000836068230626395
corr | vol,0.01,0.2698521614074707
corr | vol,0.02,0.23463480174541473
corr | vol,0.05,0.17859899997711182
corr | vol,0.1,0.12835004925727844
