market,kind,date,trough,mean_corr,planted_mean_corr,absorption,planted_absorption,flicker,planted_flicker,quarter
au_asx200,crash,2007-07-24,2007-08-17,-0.08946190957609491,-0.05946190957609493,-0.0852261400192246,-0.055226140019224636,-0.052564017666757404,-0.02256401766675739,2007Q3
au_asx200,crash,2008-05-19,2008-07-15,-0.05968485616557512,-0.029684856165575146,-0.05916099416776836,-0.029160994167768333,-0.08236185685583022,-0.052361856855830224,2008Q2
au_asx200,crash,2009-01-07,2009-03-06,0.050307602350379156,0.08030760235037913,0.049559390624275376,0.07955939062427539,0.03074080086580087,0.06074080086580087,2009Q1
au_asx200,crash,2010-04-15,2010-07-05,0.04283203328477908,0.0728320332847791,0.04597769405993479,0.0759776940599348,0.0333609293023739,0.0633609293023739,2010Q2
au_asx200,crash,2011-07-08,2011-09-26,-0.03879800460620687,-0.008798004606206852,-0.022290727581992936,0.0077092724180070574,-0.049946483840841195,-0.0199464838408412,2011Q3
au_asx200,crash,2012-05-02,2012-06-04,-0.013567990890649364,0.016432009109350654,-0.009666275143465275,0.020333724856534733,0.011548719497089069,0.04154871949708906,2012Q2
au_asx200,crash,2013-05-14,2013-06-25,0.009892187597140794,0.0398921875971408,0.022796320112596104,0.0527963201125961,-0.029388723059236593,0.0006112769407634113,2013Q2
au_asx200,crash,2015-07-21,2015-09-29,-0.009236912218188134,0.020763087781811865,-0.01169456346354241,0.018305436536457557,0.008628514780794194,0.038628514780794196,2015Q3
au_asx200,crash,2020-02-20,2020-03-23,-0.08476249701739869,-0.05476249701739867,-0.08054436165346521,-0.050544361653465236,-0.0450660226869904,-0.015066022686990421,2020Q1
au_asx200,placebo,2001-10-09,2001-10-09,0.0008885929067082524,,-0.010810695562442265,,-0.015662878787878785,,2001Q4
au_asx200,placebo,2002-08-09,2002-08-09,-0.015153854135802983,,-0.004008098844597431,,-0.01425957576453101,,2002Q3
au_asx200,placebo,2003-03-18,2003-03-18,0.004439128587493027,,0.005201284987975323,,0.014404223227752639,,2003Q1
au_asx200,placebo,2005-11-01,2005-11-01,-0.006075522920752451,,-0.0021742246595110037,,-0.03634808567831823,,2005Q4
au_asx200,placebo,2006-06-22,2006-06-22,0.00940389014693994,,0.02007379886888669,,0.0019057947504209163,,2006Q2
au_asx200,placebo,2016-11-22,2016-11-22,-0.011835951660243465,,0.010422237640086318,,-0.014894604062947714,,2016Q4
au_asx200,placebo,2018-10-31,2018-10-31,-0.004869825847254658,,0.008479384583066171,,-0.003816323684373647,,2018Q4
au_asx200,placebo,2021-10-06,2021-10-06,0.007423333100144131,,0.01947203303713486,,-0.010119111323459152,,2021Q4
au_asx200,placebo,2022-05-20,2022-05-20,-0.011672771107020292,,-0.010376728215221226,,-7.98340991279937e-05,,2022Q2
au_asx200,placebo,2024-08-05,2024-08-05,-0.004110457175767322,,-0.0069319947566849685,,-0.0342819591604758,,2024Q3
au_asx200,placebo,2025-04-30,2025-04-30,-0.008186098861451796,,0.0010215738771399234,,0.03699228650512289,,2025Q2
br_b3,crash,2001-01-26,2001-04-20,-0.02346921893016587,0.00653078106983412,-0.02185665516844637,0.008143344831553637,0.011359321782962473,0.04135932178296248,2001Q1
br_b3,crash,2002-01-07,2002-01-29,-0.008622245946951735,0.021377754053048245,0.0011366085425274046,0.031136608542527405,0.012486467449315744,0.04248646744931576,2002Q1
br_b3,crash,2002-08-29,2002-10-16,0.038804489354078195,0.06880448935407815,0.03346482489283187,0.06346482489283192,0.027659704811459816,0.057659704811459836,2002Q3
br_b3,crash,2004-01-26,2004-03-11,0.05077214572247857,0.08077214572247855,0.03960349325444414,0.06960349325444416,0.07412905612905611,0.10412905612905612,2004Q1
br_b3,crash,2005-03-07,2005-05-13,0.03491685350184456,0.06491685350184459,0.004829625853812913,0.03482962585381288,0.03753975777884088,0.06753975777884091,2005Q1
br_b3,crash,2005-10-03,2005-10-20,-0.006701022434848884,0.023298977565151133,-0.03003045486141372,-3.0454861413675705e-05,-0.01710881647208307,0.012891183527916931,2005Q4
br_b3,crash,2006-05-09,2006-06-13,-0.0194381270156894,0.010561872984310583,-0.01359311980636183,0.016406880193638194,-0.03205235221328677,-0.002052352213286754,2006Q2
br_b3,crash,2007-02-22,2007-03-05,0.02710453616691147,0.05710453616691147,0.0235501471689367,0.053550147168936676,0.05828920716964196,0.08828920716964195,2007Q1
br_b3,crash,2007-12-06,2008-01-21,-0.07656593286962356,-0.04656593286962355,-0.06574673244651306,-0.035746732446513024,-0.03695721922651358,-0.006957219226513563,2007Q4
br_b3,crash,2009-01-06,2009-03-02,0.08628131063737031,0.11628131063737031,0.07632343642572535,0.10632343642572538,0.10753408954879538,0.13753408954879542,2009Q1
br_b3,crash,2009-10-19,2009-10-28,0.009965771623984071,0.039965771623984084,0.01684374172940455,0.04684374172940453,-0.02446187362091252,0.005538126379087523,2009Q4
br_b3,crash,2011-01-12,2011-02-09,-0.005973069841113746,0.02402693015888625,0.008529124899752535,0.038529124899752513,-0.014392112310689589,0.015607887689310422,2011Q1
br_b3,crash,2011-09-01,2011-10-04,-0.056641313428397067,-0.026641313428397078,-0.04320759861282181,-0.013207598612821817,-0.04728488677801616,-0.017284886778016158,2011Q3
br_b3,crash,2012-03-13,2012-06-05,-0.030202483605486958,-0.00020248360548695554,-0.02927647367757005,0.0007235263224299645,0.001185785255408689,0.031185785255408698,2012Q1
br_b3,crash,2013-05-22,2013-07-03,0.07035274048440777,0.10035274048440779,0.05156310274111289,0.0815631027411129,0.03606658011834899,0.06606658011834901,2013Q2
br_b3,crash,2014-09-02,2014-10-27,-0.010472746946861308,0.019527253053138686,-0.02739467443670024,0.0026053255632997783,-0.02848111788198834,0.0015188821180116621,2014Q3
br_b3,crash,2015-11-24,2016-01-26,0.06263038650634213,0.09263038650634207,0.06088519729118713,0.09088519729118709,0.06636275462824065,0.09636275462824066,2015Q4
br_b3,crash,2016-10-31,2016-12-19,-0.0032199518330644494,0.02678004816693552,0.0021326532143985874,0.032132653214398614,0.025968000307375373,0.05596800030737539,2016Q4
br_b3,crash,2017-05-16,2017-06-21,0.03523599798710873,0.06523599798710876,0.027933277080478314,0.0579332770804783,0.08033591000502764,0.11033591000502764,2017Q2
br_b3,crash,2018-05-16,2018-06-18,-0.003830910992722189,0.026169089007277796,-0.0015633169270073872,0.028436683072992613,-0.024068596288319307,0.0059314037116807395,2018Q2
br_b3,crash,2020-01-23,2020-03-23,-0.08156380828229418,-0.05156380828229423,-0.06200425748828112,-0.032004257488281146,-0.04520784081954299,-0.015207840819542962,2020Q1
br_b3,crash,2021-10-15,2021-12-01,-0.01621415234623731,0.01378584765376272,-0.009354601313149627,0.020645398686850374,-0.008437755166373623,0.02156224483362643,2021Q4
br_b3,crash,2022-06-02,2022-07-14,0.0007004788952562855,0.030700478895256313,0.0020984592500484047,0.03209845925004839,0.02426967200374062,0.05426967200374063,2022Q2
ca_tsx60,crash,2000-12-11,2001-03-02,0.05171332383125534,0.08171332383125535,0.05481562100292852,0.08481562100292854,0.04371557734820573,0.0737155773482057,2000Q4
ca_tsx60,crash,2001-08-07,2001-09-21,0.043664727208612066,0.07366472720861207,0.05948077919386611,0.08948077919386606,0.04269456109151134,0.07269456109151133,2001Q3
ca_tsx60,crash,2002-08-22,2002-10-09,0.011450175427660442,0.04145017542766046,0.004421690159598611,0.03442169015959862,0.03928154287529286,0.06928154287529287,2002Q3
ca_tsx60,crash,2007-07-19,2007-08-16,-0.060636776042726735,-0.03063677604272673,-0.05767313167370352,-0.027673131673703527,-0.06838622680534447,-0.03838622680534446,2007Q3
ca_tsx60,crash,2008-06-18,2008-09-09,0.0013284155990123437,0.031328415599012345,0.0028531181760319915,0.03285311817603201,0.02231298600182371,0.05231298600182374,2008Q2
ca_tsx60,crash,2009-01-06,2009-03-09,0.03422121252757492,0.06422121252757493,0.02435615139878361,0.05435615139878363,-0.009890477696454944,0.020109522303545107,2009Q1
ca_tsx60,crash,2011-07-22,2011-10-04,-0.03207354003708145,-0.0020735400370814248,-0.04351792648279936,-0.013517926482799378,-0.042789962358958156,-0.012789962358958152,2011Q3
ca_tsx60,crash,2014-09-03,2014-10-15,-0.06710494747381837,-0.037104947473818366,-0.04700073116519813,-0.017000731165198117,-0.04838215838215837,-0.018382158382158384,2014Q3
ca_tsx60,crash,2020-02-20,2020-03-23,-0.10778230699941689,-0.07778230699941689,-0.09844228816641412,-0.06844228816641412,-0.07555704099821749,-0.04555704099821746,2020Q1
ca_tsx60,crash,2022-03-29,2022-06-23,0.020678683464636863,0.05067868346463685,0.02618715331506058,0.05618715331506061,0.06957383868380985,0.09957383868380991,2022Q1
ca_tsx60,placebo,2004-05-25,2004-05-25,0.01187590449178691,,0.013528214219592292,,0.009837688131679005,,2004Q2
ca_tsx60,placebo,2005-11-02,2005-11-02,0.02883568729533411,,0.02644934871645167,,0.049599916212819437,,2005Q4
ca_tsx60,placebo,2006-06-21,2006-06-21,0.05975395126851574,,0.04432198732874087,,0.05449998835769208,,2006Q2
ca_tsx60,placebo,2010-02-17,2010-02-17,0.05090360280133516,,0.04718728297629346,,0.00913827341137125,,2010Q1
ca_tsx60,placebo,2015-09-16,2015-09-16,-0.07804854810230602,,-0.03386402841869449,,0.0020775141822260896,,2015Q3
ca_tsx60,placebo,2018-12-27,2018-12-27,0.04661550582516182,,0.07442816725886005,,0.07474552190212243,,2018Q4
ca_tsx60,placebo,2025-04-15,2025-04-15,-0.04185455866103388,,-0.019730838990443547,,-0.07505957337847223,,2025Q2
ch_smi,crash,2001-02-06,2001-03-22,0.04623598209577158,0.07623598209577158,0.02872917645109991,0.058729176451099895,0.04971017948367086,0.07971017948367087,2001Q1
ch_smi,crash,2002-05-16,2002-07-24,-0.022685401217556796,0.007314598782443195,-0.02693648108598905,0.003063518914010984,-0.1343919691260117,-0.10439196912601167,2002Q2
ch_smi,crash,2002-11-27,2003-02-26,0.014129749784801327,0.044129749784801296,-0.009524173751166662,0.020475826248833345,0.043203267050567186,0.07320326705056723,2002Q4
ch_smi,crash,2006-05-09,2006-06-13,0.04854892050786126,0.07854892050786129,0.03808789968513917,0.06808789968513915,0.0343852722863083,0.06438527228630836,2006Q2
ch_smi,crash,2007-10-11,2008-01-07,-0.1262782173027086,-0.09627821730270864,-0.09943389758506029,-0.06943389758506023,-0.06690909239759811,-0.03690909239759809,2007Q4
ch_smi,crash,2008-05-19,2008-07-15,-0.1508969378957062,-0.12089693789570617,-0.10286722395603953,-0.07286722395603949,-0.16138049099271262,-0.13138049099271262,2008Q2
ch_smi,crash,2010-04-15,2010-07-05,0.03920897035618547,0.06920897035618541,0.020443550694320817,0.050443550694320854,0.023179843248358267,0.05317984324835826,2010Q2
ch_smi,crash,2011-02-18,2011-03-16,0.08690565142602932,0.11690565142602934,0.08277205118390782,0.11277205118390779,0.07190914716776792,0.10190914716776792,2011Q1
ch_smi,crash,2013-05-22,2013-06-24,0.03460269912466636,0.06460269912466642,0.0319761365930948,0.061976136593094776,0.048204357236965936,0.07820435723696595,2013Q2
