sample,target,n,spearman,p,ci_lo,ci_hi,significant
2008 crisis only (their setup),collapse_time,53,-0.2070426186384911,0.13687695059014118,-0.4349107355143788,0.014953012000460869,False
2008 crisis only (their setup),recovery_time,53,-0.017137788162359228,0.903058356418043,-0.3133038300628676,0.26832357645685334,False
all events 2000-2026 (out of sample),collapse_time,262,0.07981444049157488,0.19781987288119574,-0.048644755407817326,0.1835137236648719,False
all events 2000-2026 (out of sample),recovery_time,262,0.1328318069608296,0.03160878946511034,0.037657942519425,0.2146306178050629,True
everything pooled,collapse_time,315,0.06394560448507694,0.25781591643031976,-0.05093323107091159,0.1602246801895964,False
everything pooled,recovery_time,315,0.11060058595397404,0.04985773293181789,0.0028001960116507065,0.21038871308361398,True
