bar,date,fall
559748,2008-09-19 09:31:00-04:00,-0.043414959119558394
562325,2008-09-29 13:28:00-04:00,-0.04689086241917495
563865,2008-10-03 13:08:00-04:00,-0.031803274453693686
564649,2008-10-07 13:12:00-04:00,-0.030334428622195486
565639,2008-10-10 10:12:00-04:00,-0.05818219656240209
566382,2008-10-14 09:35:00-04:00,-0.03617146873640398
567332,2008-10-16 12:25:00-04:00,-0.03147992547884604
569335,2008-10-23 13:18:00-04:00,-0.03278942422823572
570302,2008-10-28 09:55:00-04:00,-0.04180558139027102
570915,2008-10-29 13:38:00-04:00,-0.03268517236153623
575008,2008-11-13 10:21:00-05:00,-0.032456048191081055
576838,2008-11-19 14:51:00-05:00,-0.03795842251123571
577315,2008-11-21 09:48:00-05:00,-0.037389879828749195
578116,2008-11-25 10:09:00-05:00,-0.032709091602341256
579389,2008-12-01 14:52:00-05:00,-0.03906730253812429
580542,2008-12-04 14:35:00-05:00,-0.048046250485252795
591293,2009-01-15 14:46:00-05:00,-0.03123438233727771
597698,2009-02-10 11:01:00-05:00,-0.04756909550760979
600660,2009-02-20 14:53:00-05:00,-0.03105314746612542
604251,2009-03-06 09:44:00-05:00,-0.032109647948827535
842656,2011-08-09 14:18:00-04:00,-0.04188541639718557
1562279,2018-12-19 14:32:00-05:00,-0.030737954326397143
1681564,2020-03-12 13:05:00-04:00,-0.04801947720167854
1682419,2020-03-16 14:34:00-04:00,-0.032427157774047366
1682810,2020-03-17 14:35:00-04:00,-0.031782202248454516
1683398,2020-03-19 11:37:00-04:00,-0.03120433340463913
1683937,2020-03-20 14:06:00-04:00,-0.030504367670731836
1684840,2020-03-25 09:39:00-04:00,-0.04468028365363119
1688371,2020-04-07 10:00:00-04:00,-0.03137251050601175
1941216,2022-11-02 14:35:00-04:00,-0.030118093046751504
2176303,2025-04-07 10:18:00-04:00,-0.04018000830914514
