market,date,fall
au_asx200,2007-07-24,-0.11698298546248842
au_asx200,2008-05-19,-0.13623222733450913
au_asx200,2009-01-07,-0.11561764310537681
au_asx200,2010-04-15,-0.14726406206391696
au_asx200,2011-07-08,-0.1436397769140022
au_asx200,2012-05-02,-0.10164789834538712
au_asx200,2013-05-14,-0.1082168167017813
au_asx200,2015-07-21,-0.12360915528809768
au_asx200,2020-02-20,-0.365305410122164
br_b3,2002-08-29,-0.1752271640363462
br_b3,2004-01-26,-0.13958932238193023
br_b3,2005-03-07,-0.16292649804786963
br_b3,2005-10-03,-0.11024610748367658
br_b3,2006-05-09,-0.21751351866409396
br_b3,2007-02-22,-0.11351502626367005
br_b3,2007-12-06,-0.18364213950236352
br_b3,2009-01-06,-0.11911514463981854
br_b3,2009-10-19,-0.10525141658858694
br_b3,2011-01-12,-0.10351374366562893
br_b3,2011-09-01,-0.1278777659244984
br_b3,2012-03-13,-0.10382489692078256
br_b3,2013-05-22,-0.20175796133193924
br_b3,2014-09-02,-0.14601912886131574
br_b3,2015-11-24,-0.1726037610802751
br_b3,2016-10-31,-0.10339622641509438
br_b3,2017-05-16,-0.11533981713353914
br_b3,2018-05-16,-0.1932352635288952
br_b3,2020-01-23,-0.27994277491466435
br_b3,2021-10-15,-0.11106168446026099
br_b3,2022-06-02,-0.1447776996788056
br_b3,2026-04-14,-0.12271402467569725
ca_tsx60,2002-08-22,-0.11779482490662652
ca_tsx60,2007-07-19,-0.12150443962766722
ca_tsx60,2008-06-18,-0.12386304399121628
ca_tsx60,2009-01-06,-0.13683340155040036
ca_tsx60,2011-07-22,-0.1351355106607316
ca_tsx60,2014-09-03,-0.11417453909599362
ca_tsx60,2020-02-20,-0.3742511329945134
ca_tsx60,2022-03-29,-0.1018643611268758
ch_smi,2002-05-16,-0.16404659364726537
ch_smi,2002-11-27,-0.11733148294219353
ch_smi,2006-05-09,-0.11908252590873625
ch_smi,2007-10-11,-0.11855764354594012
ch_smi,2008-05-19,-0.11792925411019284
ch_smi,2010-04-15,-0.125726975661413
ch_smi,2011-02-18,-0.10356919800699693
ch_smi,2013-05-22,-0.13774902597662808
ch_smi,2015-01-13,-0.1492672071313148
ch_smi,2015-08-05,-0.11104478909342108
ch_smi,2018-12-03,-0.10002898623148637
ch_smi,2020-02-19,-0.27543434580253634
ch_smi,2025-03-03,-0.17308457962363566
ch_smi,2026-02-27,-0.12082726885478234
crypto,2017-01-04,-0.3264598371930667
crypto,2017-09-01,-0.3550810193918734
crypto,2018-03-05,-0.4086189681445346
crypto,2018-11-07,-0.47628424746519804
crypto,2020-02-12,-0.5186169126186414
crypto,2021-05-08,-0.4292763399353796
crypto,2021-12-24,-0.3107293027268321
crypto,2022-05-31,-0.4018162803837382
crypto,2026-01-14,-0.35311531742601765
de_dax,2002-03-19,-0.10613720805963767
de_dax,2002-12-02,-0.15981301667807968
de_dax,2003-09-04,-0.11227226797433287
de_dax,2004-03-08,-0.10128344310461868
de_dax,2006-05-09,-0.13818901503992265
de_dax,2007-07-16,-0.10309056023953078
de_dax,2008-02-19,-0.11710315194038778
de_dax,2008-08-11,-0.11326653921886287
de_dax,2009-06-02,-0.11108154837644113
de_dax,2010-01-04,-0.10150951188988255
de_dax,2011-02-18,-0.12292898399728547
de_dax,2011-10-28,-0.1446663410016945
de_dax,2014-07-03,-0.10171160342959429
de_dax,2015-07-20,-0.17785786365860035
de_dax,2016-05-30,-0.10302395903386641
de_dax,2018-01-23,-0.12138187674063361
de_dax,2020-02-19,-0.38779389651624485
de_dax,2020-09-16,-0.12786216730115052
de_dax,2022-06-06,-0.15372175844045466
de_dax,2025-03-06,-0.1600633120097168
de_dax,2026-02-26,-0.11816470494466391
es_ibex35,2002-08-27,-0.1990869712014225
es_ibex35,2006-05-09,-0.10641126374998522
es_ibex35,2007-12-11,-0.22880973135455474
es_ibex35,2008-08-11,-0.11754111590398575
es_ibex35,2010-01-06,-0.1733851067132839
es_ibex35,2010-10-22,-0.1517282048494929
es_ibex35,2011-07-01,-0.24075487464999568
es_ibex35,2012-07-03,-0.17497056748964068
es_ibex35,2013-03-14,-0.1005786808706517
es_ibex35,2014-09-05,-0.1326767434604521
es_ibex35,2015-07-20,-0.1557186189571007
es_ibex35,2018-01-23,-0.10164478916301423
es_ibex35,2020-02-19,-0.39434324726316305
es_ibex35,2021-06-14,-0.10552622590896354
es_ibex35,2022-02-10,-0.13972227390411462
es_ibex35,2022-08-16,-0.1252599474127789
