datetime,R,mean_corr,index
2010-05-03 09:31:00-04:00,0.4555254609341488,,1.0000499946982442
2010-05-03 09:32:00-04:00,0.07077628223806932,,1.0005999257365459
2010-05-03 09:33:00-04:00,0.09756609396418271,,1.0007660733195647
2010-05-03 09:34:00-04:00,0.3243710605258563,,1.000403176900374
2010-05-03 09:35:00-04:00,0.40138883997851715,,1.0012227922579788
2010-05-03 09:36:00-04:00,0.4348286808776186,,1.001807312359224
2010-05-03 09:37:00-04:00,0.33435521445839755,,1.0021705417169442
2010-05-03 09:38:00-04:00,0.3555906371389351,,1.0021866982602574
2010-05-03 09:39:00-04:00,0.21120172537581727,,1.0022558748792436
2010-05-03 09:40:00-04:00,0.5624196501600823,,1.0023830060926346
2010-05-03 09:41:00-04:00,0.2164410043791632,,1.0020160932348376
2010-05-03 09:42:00-04:00,0.20384359952822037,,1.0016690905589078
2010-05-03 09:43:00-04:00,0.31391075105714894,,1.0011662601748252
2010-05-03 09:44:00-04:00,0.3501893886607234,,1.0015094290972606
2010-05-03 09:45:00-04:00,0.22498444248237984,,1.001812087428694
2010-05-03 09:46:00-04:00,0.23869764528483095,,1.0018423136975299
2010-05-03 09:47:00-04:00,0.3398406513842341,,1.0013070771674302
2010-05-03 09:48:00-04:00,0.3867214598437864,,1.0017450594819988
2010-05-03 09:49:00-04:00,0.2742185836489106,,1.0017122628872093
2010-05-03 09:50:00-04:00,0.23421981735895625,,1.0016762415557596
2010-05-03 09:51:00-04:00,0.08110725140513501,,1.0017184280732738
2010-05-03 09:52:00-04:00,0.33253352462984237,,1.0019806683193324
2010-05-03 09:53:00-04:00,0.26025255785050133,,1.0020821115057679
2010-05-03 09:54:00-04:00,0.5180952351257531,,1.0026394026083036
2010-05-03 09:55:00-04:00,0.4854889225828525,,1.0025595366147895
2010-05-03 09:56:00-04:00,0.36746842610263164,,1.0027646786289464
2010-05-03 09:57:00-04:00,0.511787614320268,,1.0027400720350932
2010-05-03 09:58:00-04:00,0.13443873168862272,,1.0025983209989164
2010-05-03 09:59:00-04:00,0.40268596960486674,,1.002646321618785
2010-05-03 10:00:00-04:00,0.28651902370547544,0.08122543511035872,1.0023346378665121
2010-05-03 10:01:00-04:00,0.19999056452067432,0.09345013635629394,1.0021696307951489
2010-05-03 10:02:00-04:00,0.5788384820330466,0.11214822525904074,1.0016930046008654
2010-05-03 10:03:00-04:00,0.3116729634712683,0.11525432659355869,1.0016622356441303
2010-05-03 10:04:00-04:00,0.5104629203925146,0.11803813266505035,1.0015120450093886
2010-05-03 10:05:00-04:00,0.5632100444954689,0.10883328872092303,1.0016625981325722
2010-05-03 10:06:00-04:00,0.5563346583442157,0.09321312784017007,1.0019084415991226
2010-05-03 10:07:00-04:00,0.5495532825543139,0.11229626952071137,1.002634669143175
2010-05-03 10:08:00-04:00,0.28211364159889246,0.1115462757579885,1.0026555284149188
2010-05-03 10:09:00-04:00,0.32682608530011215,0.11371434186575075,1.0029690738574664
2010-05-03 10:10:00-04:00,0.3430977533024643,0.11850724941656846,1.0033374328539353
2010-05-03 10:11:00-04:00,0.4605673195764519,0.11592281735292294,1.003498152341488
